state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.009133249999999999,"[1152, 1162]","[1190.6, 1200.8]",-0.00379975,"[8, 474]","[9.321, 494.38]",0.00111575,"[490, 606]","[515.27, 633.6]",-0.0125685,"[623, 649]","[650.93, 677.46]"
0.0009363100000000001,"[1262, 1782]","[1302.8, 1833.3]",-0.00313925,"[666, 1080]","[694.8, 1117.2]",0.008402050000000001,"[1097, 1135]","[1134.5, 1173.3]",0.000233625,"[1179, 1245]","[1218.2, 1285.5]"
0.00054872,"[2471, 2892]","[2538.8, 2976.8]",-0.0028887,"[1799, 2319]","[1850.6, 2381.7]",0.0030332,"[2336, 2454]","[2399.1, 2521.2]",-0.0027784999999999997,"[2909, 2973]","[2994.5, 3061.2]"
0.000548185,"[2990, 3780]","[3078.9, 3901.1]",-0.0020444000000000005,"[3797, 4062]","[3918.8, 4196.8]",0.0035453,"[9312, 9380]","[9590.9, 9660.9]",0.0012087,"[5974, 6042]","[6150.6, 6221.4]"
0.00083713,"[4079, 4560]","[4214.2, 4704.9]",-0.0016465999999999998,"[4577, 4796]","[4722.2, 4945.6]",0.0028228000000000003,"[10066, 10111]","[10374.0, 10421.0]",0.00021977,"[6570, 6807]","[6770.5, 7017.0]"
0.00031038,"[4813, 5141]","[4962.9, 5297.5]",-0.00025351,"[5158, 5333]","[5314.9, 5493.4]",-9.52795e-05,"[12475, 12563]","[12854.0, 12944.0]",-0.00052064,"[7579, 7680]","[7822.2, 7925.2]"
0.0005394,"[5350, 5845]","[5510.7, 6017.1]",-0.0074205,"[5862, 5911]","[6034.6, 6085.3]",0.00050947,"[13850, 14040]","[14278.0, 14476.0]",0.013413650000000001,"[9156, 9170]","[9431.0, 9445.3]"
0.0058005,"[5928, 5957]","[6102.9, 6133.0]",-0.004253700000000001,"[6309, 6553]","[6499.1, 6752.8]",-0.0003197,"[21805, 21905]","[22482.0, 22585.0]",0.0014502999999999999,"[10128, 10172]","[10439.0, 10485.0]"
0.0028888,"[6059, 6292]","[6239.0, 6481.3]",-0.018763,"[7262, 7295]","[7490.5, 7524.8]",-0.0005195499999999999,"[22589, 22685]","[23282.0, 23380.0]",-0.00061915,"[13030, 13175]","[13425.0, 13576.0]"
