state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.2115,"[1266, 1778]","[1306.9, 1829.2]",4.1368,"[12, 470]","[13.481, 490.22]",4.2067,"[494, 602]","[519.35, 629.51]",4.1708,"[627, 645]","[655.01, 673.37]"
4.2088,"[2475, 2888]","[2542.9, 2972.6]",4.13975,"[670, 1076]","[698.88, 1113.1]",4.23005,"[1101, 1131]","[1138.6, 1169.2]",4.21535,"[1183, 1241]","[1222.2, 1281.4]"
4.2013,"[2994, 3776]","[3083.1, 3896.9]",4.1302,"[1803, 2315]","[1854.7, 2377.6]",4.1983,"[2340, 2450]","[2403.2, 2517.0]",4.15855,"[2913, 2969]","[2998.6, 3057.1]"
4.2071,"[4083, 4556]","[4218.2, 4700.8]",4.1329,"[3801, 4058]","[3923.0, 4192.7]",4.21195,"[9320, 9376]","[9599.1, 9656.7]",4.1889,"[5977, 6038]","[6153.8, 6217.2]"
4.2098,"[4817, 5137]","[4967.0, 5293.4]",4.1698,"[4581, 4792]","[4726.3, 4941.5]",4.2098,"[10070, 10107]","[10378.0, 10417.0]",4.1778,"[6574, 6803]","[6774.7, 7012.9]"
4.1947,"[5354, 5841]","[5514.8, 6013.0]",4.1659,"[5162, 5329]","[5319.0, 5489.3]",4.1881,"[12479, 12532]","[12858.0, 12912.0]",4.1789,"[7583, 7680]","[7826.3, 7925.2]"
4.1992,"[5932, 5953]","[6107.0, 6128.8]",4.1419,"[5866, 5907]","[6038.8, 6081.2]",4.218,"[13854, 13983]","[14282.0, 14416.0]",4.23585,"[10132, 10176]","[10443.0, 10489.0]"
4.1896,"[6062, 6288]","[6242.2, 6477.2]",4.1222,"[6312, 6549]","[6502.2, 6748.7]",4.20875,"[21808, 21898]","[22486.0, 22577.0]",4.1991499999999995,"[13070, 13172]","[13466.0, 13572.0]"
4.2010000000000005,"[6828, 7241]","[7038.9, 7468.7]",4.1568,"[7266, 7291]","[7494.7, 7520.7]",4.2275,"[22593, 22670]","[23286.0, 23365.0]",4.2097,"[14626, 14822]","[15086.0, 15286.0]"
4.2047,"[7705, 8484]","[7950.7, 8745.4]",4.1272,"[7351, 7558]","[7583.1, 7800.8]",4.2329,"[23202, 23233]","[23909.0, 23941.0]",4.1753,"[15152, 15193]","[15623.0, 15665.0]"
4.2229,"[10200, 11146]","[10514.0, 11497.0]",4.1384,"[8509, 9135]","[8770.9, 9409.6]",4.2493,"[23908, 24042]","[24641.0, 24781.0]",4.1646,"[17178, 17404]","[17707.0, 17942.0]"
4.2037,"[11200, 11494]","[11553.0, 11853.0]",4.1497,"[9191, 9295]","[9466.7, 9573.4]",4.2456499999999995,"[24800, 24884]","[25569.0, 25657.0]",4.17615,"[18321, 18545]","[18893.0, 19121.0]"
4.2054,"[11749, 12063]","[12113.0, 12433.0]",4.1702,"[9401, 9504]","[9682.7, 9789.6]",4.23235,"[25688, 25726]","[26481.0, 26520.0]",4.1764,"[19216, 19403]","[19806.0, 19997.0]"
4.2036,"[12556, 12579]","[12936.0, 12960.0]",4.1567,"[9555, 10045]","[9842.7, 10352.0]",4.2476,"[27616, 27669]","[28465.0, 28520.0]",4.187950000000001,"[20533, 20609]","[21162.0, 21241.0]"
4.2244,"[13196, 13229]","[13597.0, 13632.0]",4.1342,"[11519, 11725]","[11878.0, 12088.0]",4.2267,"[28222, 28263]","[29096.0, 29139.0]",4.1959,"[20790, 20897]","[21430.0, 21541.0]"
4.21665,"[14579, 14601]","[15038.0, 15061.0]",4.1312,"[12087, 12455]","[12458.0, 12833.0]",4.243,"[29669, 29730]","[30581.0, 30643.0]",4.201,"[21036, 21082]","[21686.0, 21733.0]"
4.2148,"[14846, 15127]","[15311.0, 15598.0]",4.1382,"[12604, 13023]","[12985.0, 13417.0]",4.2443,"[30200, 30258]","[31124.0, 31184.0]",4.17635,"[21248, 21342]","[21906.0, 22004.0]"
4.1946,"[15218, 17014]","[15690.0, 17537.0]",4.1439,"[13303, 13544]","[13709.0, 13959.0]",4.211,"[32503, 32558]","[33512.0, 33568.0]",4.2424,"[26314, 26427]","[27120.0, 27235.0]"
4.184749999999999,"[17428, 17650]","[17967.0, 18198.0]",4.1492,"[13595, 13830]","[14013.0, 14257.0]",4.2317,"[33128, 33169]","[34149.0, 34191.0]",4.22655,"[26668, 26694]","[27481.0, 27507.0]"
4.2029,"[17916, 17949]","[18475.0, 18510.0]",4.1545,"[14041, 14113]","[14477.0, 14551.0]",4.2384,"[33849, 33872]","[34888.0, 34912.0]",4.2153,"[27693, 27746]","[28545.0, 28600.0]"
4.2095,"[17977, 18297]","[18542.0, 18868.0]",4.1499500000000005,"[14157, 14321]","[14597.0, 14768.0]",4.2362,"[34587, 34636]","[35656.0, 35707.0]",4.2195,"[30820, 31092]","[31768.0, 32051.0]"
4.2079,"[18569, 19192]","[19146.0, 19781.0]",4.1533999999999995,"[14364, 14554]","[14813.0, 15013.0]",4.2440999999999995,"[35173, 35199]","[36265.0, 36292.0]",4.1996,"[31356, 31534]","[32325.0, 32511.0]"
4.2014,"[19427, 20509]","[20022.0, 21137.0]",4.1355,"[17038, 17135]","[17562.0, 17662.0]",4.247,"[35740, 35785]","[36853.0, 36899.0]",4.2284500000000005,"[35809, 35863]","[36924.0, 36979.0]"
4.2031,"[20633, 20766]","[21266.0, 21405.0]",4.13095,"[17674, 17760]","[18223.0, 18313.0]",4.24805,"[36299, 36343]","[37423.0, 37468.0]",4.2404,"[36994, 37055]","[38133.0, 38195.0]"
4.2184,"[20921, 21012]","[21566.0, 21661.0]",4.1201,"[17799, 17892]","[18353.0, 18450.0]",4.2088,"[39797, 39824]","[41032.0, 41059.0]",4.22595,"[37131, 37257]","[38273.0, 38403.0]"
4.221500000000001,"[21366, 21448]","[22029.0, 22114.0]",4.15455,"[21125, 21189]","[21778.0, 21845.0]",4.227,"[40351, 40373]","[41597.0, 41620.0]",4.21795,"[37359, 37543]","[38508.0, 38699.0]"
4.2643,"[26198, 26290]","[27001.0, 27095.0]",4.1485,"[21471, 21576]","[22142.0, 22249.0]",4.2321,"[40745, 40857]","[42000.0, 42115.0]",4.195399999999999,"[38208, 38370]","[39392.0, 39560.0]"
4.24865,"[26452, 26644]","[27260.0, 27456.0]",4.13965,"[21620, 21784]","[22294.0, 22461.0]",,,,4.19385,"[38717, 38919]","[39921.0, 40132.0]"
4.24665,"[26719, 26761]","[27533.0, 27576.0]",4.1514500000000005,"[21946, 22568]","[22626.0, 23261.0]",,,,4.1547,"[39265, 39292]","[40489.0, 40516.0]"
4.2333,"[29089, 29158]","[29989.0, 30060.0]",4.1644,"[22714, 22756]","[23410.0, 23453.0]",,,,4.23535,"[41558, 41584]","[42844.0, 42871.0]"
4.2283,"[29493, 29543]","[30401.0, 30452.0]",4.16225,"[22796, 23178]","[23494.0, 23884.0]",,,,,,
4.2005,"[29754, 29777]","[30668.0, 30691.0]",4.1722,"[23277, 23884]","[23986.0, 24617.0]",,,,,,
4.2569,"[30579, 30796]","[31517.0, 31743.0]",4.1798,"[24092, 24776]","[24833.0, 25545.0]",,,,,,
4.2288,"[31116, 31332]","[32076.0, 32300.0]",4.17695,"[24967, 25365]","[25745.0, 26152.0]",,,,,,
4.2198,"[31558, 31928]","[32535.0, 32920.0]",4.1768,"[25409, 25664]","[26196.0, 26456.0]",,,,,,
4.2578,"[36943, 36970]","[38081.0, 38108.0]",4.1779,"[25778, 26145]","[26573.0, 26947.0]",,,,,,
4.2408,"[37079, 37107]","[38220.0, 38248.0]",4.1682,"[26785, 27250]","[27601.0, 28084.0]",,,,,,
4.2398,"[37281, 37335]","[38427.0, 38483.0]",4.1688,"[27288, 27422]","[28124.0, 28263.0]",,,,,,
