state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.4644,"[1152, 1162]","[1190.6, 1200.8]",2.4054,"[8, 474]","[9.321, 494.38]",2.44935,"[490, 606]","[515.27, 633.6]",2.42665,"[623, 649]","[650.93, 677.46]"
2.45765,"[1262, 1782]","[1302.8, 1833.3]",2.40625,"[666, 1080]","[694.8, 1117.2]",2.4664,"[1097, 1135]","[1134.5, 1173.3]",2.4570999999999996,"[1179, 1245]","[1218.2, 1285.5]"
2.4538,"[2471, 2892]","[2538.8, 2976.8]",2.4025,"[1799, 2319]","[1850.6, 2381.7]",2.4455,"[2336, 2454]","[2399.1, 2521.2]",2.4202000000000004,"[2909, 2973]","[2994.5, 3061.2]"
2.4504,"[2990, 3780]","[3078.9, 3901.1]",2.4032,"[3797, 4062]","[3918.8, 4196.8]",2.44965,"[9312, 9380]","[9590.9, 9660.9]",2.4402,"[5974, 6042]","[6150.6, 6221.4]"
2.4536,"[4079, 4560]","[4214.2, 4704.9]",2.4268,"[4577, 4796]","[4722.2, 4945.6]",2.447,"[10066, 10111]","[10374.0, 10421.0]",2.4329,"[6570, 6807]","[6770.5, 7017.0]"
2.4558,"[4813, 5141]","[4962.9, 5297.5]",2.4258,"[5158, 5333]","[5314.9, 5493.4]",2.4431000000000003,"[12475, 12563]","[12854.0, 12944.0]",2.4343,"[7579, 7680]","[7822.2, 7925.2]"
2.445,"[5350, 5845]","[5510.7, 6017.1]",2.4083,"[5862, 5911]","[6034.6, 6085.3]",2.4547,"[13850, 14040]","[14278.0, 14476.0]",2.4370000000000003,"[9156, 9170]","[9431.0, 9445.3]"
2.4457,"[5928, 5957]","[6102.9, 6133.0]",2.39635,"[6309, 6553]","[6499.1, 6752.8]",2.4513499999999997,"[21805, 21905]","[22482.0, 22585.0]",2.4679,"[10128, 10172]","[10439.0, 10485.0]"
2.44,"[6059, 6292]","[6239.0, 6481.3]",2.4182,"[7262, 7295]","[7490.5, 7524.8]",2.4638,"[22589, 22685]","[23282.0, 23380.0]",2.4476,"[13030, 13175]","[13425.0, 13576.0]"
2.45,"[6824, 7245]","[7034.7, 7472.8]",2.3982,"[7347, 7562]","[7578.9, 7804.8]",2.4629,"[23184, 23245]","[23890.0, 23953.0]",2.4241,"[17185, 17407]","[17714.0, 17946.0]"
2.44395,"[7312, 7330]","[7542.5, 7561.2]",2.405,"[8505, 9139]","[8766.9, 9413.7]",2.4772,"[23897, 24054]","[24630.0, 24793.0]",2.4364999999999997,"[18317, 18399]","[18889.0, 18972.0]"
2.4513,"[7697, 8488]","[7942.5, 8749.5]",2.4117,"[9187, 9295]","[9462.7, 9573.4]",2.4741,"[24797, 24907]","[25566.0, 25681.0]",2.4152,"[18475, 18548]","[19050.0, 19124.0]"
2.4643,"[10189, 10957]","[10502.0, 11302.0]",2.4176,"[9397, 10049]","[9678.5, 10357.0]",2.4582,"[25684, 25730]","[26477.0, 26524.0]",2.4344,"[19212, 19407]","[19802.0, 20001.0]"
2.4594,"[10978, 11149]","[11326.0, 11501.0]",2.4222,"[11166, 11193]","[11518.0, 11545.0]",2.4717,"[27612, 27729]","[28461.0, 28583.0]",2.4475,"[20529, 20935]","[21158.0, 21581.0]"
2.4514,"[11209, 11498]","[11562.0, 11857.0]",2.4053500000000003,"[11515, 11741]","[11874.0, 12105.0]",2.4608999999999996,"[28211, 28291]","[29084.0, 29168.0]",2.4482,"[21075, 21105]","[21726.0, 21757.0]"
2.4507,"[11758, 12066]","[12122.0, 12437.0]",2.4025,"[12083, 12458]","[12454.0, 12837.0]",2.4596999999999998,"[28770, 28848]","[29664.0, 29743.0]",2.43555,"[21252, 21366]","[21910.0, 22029.0]"
2.4543,"[13192, 13283]","[13593.0, 13688.0]",2.40565,"[12600, 13014]","[12981.0, 13408.0]",2.4602000000000004,"[29489, 29547]","[30397.0, 30456.0]",2.4562,"[21922, 21933]","[22602.0, 22613.0]"
2.4481,"[14575, 17018]","[15034.0, 17541.0]",2.4125,"[13299, 13834]","[13704.0, 14261.0]",2.4729,"[29665, 29754]","[30577.0, 30668.0]",2.44175,"[22701, 22713]","[23397.0, 23409.0]"
2.4471,"[17155, 17168]","[17683.0, 17697.0]",2.4155,"[14057, 14558]","[14493.0, 15017.0]",2.4731,"[30197, 30282]","[31120.0, 31208.0]",2.4659,"[24070, 24081]","[24810.0, 24821.0]"
2.4373,"[17424, 17637]","[17963.0, 18185.0]",2.4043,"[17035, 17138]","[17558.0, 17666.0]",2.4535,"[32500, 32573]","[33508.0, 33583.0]",2.4623,"[25747, 25758]","[26541.0, 26552.0]"
2.44925,"[17899, 17953]","[18457.0, 18514.0]",2.4007,"[17653, 17883]","[18202.0, 18441.0]",2.4638,"[33108, 33181]","[34129.0, 34203.0]",2.4738,"[26343, 26580]","[27149.0, 27391.0]"
2.45675,"[17973, 18301]","[18538.0, 18872.0]",2.4183,"[21121, 21189]","[21774.0, 21845.0]",2.4408,"[33652, 33670]","[34684.0, 34703.0]",2.46335,"[26664, 26698]","[27477.0, 27512.0]"
2.43985,"[18416, 18458]","[18990.0, 19033.0]",2.41195,"[21460, 21788]","[22130.0, 22465.0]",2.4481,"[33800, 33892]","[34837.0, 34932.0]",2.4636,"[29085, 29166]","[29985.0, 30068.0]"
2.4564,"[18565, 19195]","[19142.0, 19784.0]",2.4149,"[21950, 22568]","[22630.0, 23261.0]",2.4656,"[34577, 34640]","[35645.0, 35711.0]",2.4602500000000003,"[30816, 31096]","[31764.0, 32055.0]"
2.4514,"[19423, 20512]","[20017.0, 21140.0]",2.4237,"[22730, 23167]","[23426.0, 23873.0]",2.474,"[35169, 35213]","[36261.0, 36307.0]",2.4484,"[31309, 31538]","[32276.0, 32515.0]"
2.4617500000000003,"[20952, 21058]","[21598.0, 21709.0]",2.4281,"[23261, 23881]","[23970.0, 24613.0]",2.4732,"[35736, 35789]","[36849.0, 36903.0]",2.4303500000000002,"[33197, 33201]","[34220.0, 34224.0]"
2.4543,"[21205, 21235]","[21861.0, 21893.0]",2.4323,"[24097, 24780]","[24838.0, 25549.0]",2.4725,"[36241, 36361]","[37364.0, 37487.0]",2.4686000000000003,"[35805, 35867]","[36920.0, 36983.0]"
2.4654,"[21382, 21446]","[22046.0, 22112.0]",2.4381,"[24924, 24942]","[25698.0, 25717.0]",2.4437,"[39774, 39837]","[41008.0, 41072.0]",2.4701,"[36907, 37211]","[38044.0, 38355.0]"
2.48595,"[26194, 26326]","[26997.0, 27132.0]",2.4315,"[24963, 25667]","[25741.0, 26460.0]",2.4549,"[40323, 40384]","[41568.0, 41631.0]",2.4595,"[37344, 37546]","[38493.0, 38703.0]"
2.4821,"[26597, 26648]","[27408.0, 27460.0]",2.4305,"[25774, 26177]","[26569.0, 26980.0]",2.4647,"[40726, 40865]","[41980.0, 42123.0]",2.4448,"[38224, 38365]","[39408.0, 39555.0]"
2.4775,"[26715, 26779]","[27529.0, 27595.0]",2.4267000000000003,"[26796, 27514]","[27612.0, 28359.0]",,,,2.4457500000000003,"[38713, 38919]","[39917.0, 40132.0]"
2.4821,"[30575, 30800]","[31513.0, 31747.0]",2.4266,"[27535, 27596]","[28381.0, 28444.0]",,,,2.4243,"[39245, 39288]","[40468.0, 40512.0]"
2.46745,"[31112, 31292]","[32072.0, 32259.0]",2.43285,"[27746, 27988]","[28600.0, 28852.0]",,,,2.4657,"[41554, 41588]","[42840.0, 42875.0]"
2.4620499999999996,"[31555, 31931]","[32532.0, 32924.0]",2.4274,"[28022, 28194]","[28888.0, 29067.0]",,,,,,
2.4419999999999997,"[31952, 31977]","[32949.0, 32975.0]",2.4301500000000003,"[28308, 28754]","[29185.0, 29647.0]",,,,,,
2.4708,"[37227, 37327]","[38372.0, 38475.0]",2.4317,"[28864, 29068]","[29760.0, 29968.0]",,,,,,
2.4686,"[37562, 38207]","[38719.0, 39391.0]",2.4335,"[29183, 29472]","[30085.0, 30380.0]",,,,,,
2.4634,"[38381, 38696]","[39572.0, 39899.0]",2.42865,"[29563, 29649]","[30473.0, 30560.0]",,,,,,
2.4555,"[38940, 39228]","[40157.0, 40451.0]",2.4306,"[29771, 30180]","[30685.0, 31103.0]",,,,,,
2.44515,"[39304, 39456]","[40529.0, 40684.0]",2.4331,"[30298, 30559]","[31225.0, 31496.0]",,,,,,
2.42265,"[39676, 39692]","[40908.0, 40924.0]",2.4093,"[31994, 32483]","[32992.0, 33491.0]",,,,,,
2.4599,"[40881, 40888]","[42140.0, 42147.0]",2.41715,"[32590, 33092]","[33600.0, 34112.0]",,,,,,
,,,2.4267,"[33218, 33635]","[34241.0, 34667.0]",,,,,,
,,,2.4338,"[33687, 33784]","[34720.0, 34820.0]",,,,,,
,,,2.4282,"[33908, 34561]","[34949.0, 35628.0]",,,,,,
,,,2.4318,"[34657, 35152]","[35728.0, 36244.0]",,,,,,
,,,2.4321,"[35229, 35719]","[36324.0, 36832.0]",,,,,,
,,,2.4308,"[35884, 36224]","[37000.0, 37347.0]",,,,,,
,,,2.4309000000000003,"[36378, 36890]","[37504.0, 38027.0]",,,,,,
,,,2.4128,"[39473, 39659]","[40701.0, 40891.0]",,,,,,
,,,2.4121,"[39708, 39757]","[40941.0, 40991.0]",,,,,,
,,,2.4187,"[39853, 40306]","[41089.0, 41551.0]",,,,,,
,,,2.4252,"[40401, 40709]","[41648.0, 41963.0]",,,,,,
,,,2.4242,"[40904, 41538]","[42164.0, 42823.0]",,,,,,
,,,2.4279,"[41604, 41893]","[42892.0, 43192.0]",,,,,,
