state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.4577,"[1266, 1778]","[1306.9, 1829.2]",2.4054,"[12, 470]","[13.481, 490.22]",2.4494499999999997,"[494, 602]","[519.35, 629.51]",2.42665,"[627, 645]","[655.01, 673.37]"
2.4538,"[2475, 2888]","[2542.9, 2972.6]",2.40605,"[670, 1076]","[698.88, 1113.1]",2.4667000000000003,"[1101, 1131]","[1138.6, 1169.2]",2.4570999999999996,"[1183, 1241]","[1222.2, 1281.4]"
2.4505,"[2994, 3776]","[3083.1, 3896.9]",2.40225,"[1803, 2315]","[1854.7, 2377.6]",2.4457,"[2340, 2450]","[2403.2, 2517.0]",2.4202000000000004,"[2913, 2969]","[2998.6, 3057.1]"
2.4535,"[4083, 4556]","[4218.2, 4700.8]",2.4034,"[3801, 4058]","[3923.0, 4192.7]",2.44965,"[9316, 9376]","[9595.0, 9656.7]",2.4407,"[5977, 6038]","[6153.8, 6217.2]"
2.4559,"[4817, 5137]","[4967.0, 5293.4]",2.4265,"[4581, 4792]","[4726.3, 4941.5]",2.447,"[10070, 10107]","[10378.0, 10417.0]",2.4329,"[6574, 6803]","[6774.7, 7012.9]"
2.4452,"[5354, 5841]","[5514.8, 6013.0]",2.4257,"[5162, 5329]","[5319.0, 5489.3]",2.4431000000000003,"[12479, 12559]","[12858.0, 12940.0]",2.4352,"[7583, 7676]","[7826.3, 7921.1]"
2.4493,"[5932, 5953]","[6107.0, 6128.8]",2.4076,"[5866, 5907]","[6038.8, 6081.2]",2.4546,"[13854, 14037]","[14282.0, 14472.0]",2.4717,"[10132, 10169]","[10443.0, 10481.0]"
2.4401,"[6062, 6288]","[6242.2, 6477.2]",2.3962,"[6312, 6549]","[6502.2, 6748.7]",2.4513,"[21808, 21901]","[22486.0, 22581.0]",2.4477,"[13034, 13172]","[13429.0, 13572.0]"
2.45,"[6828, 7241]","[7038.9, 7468.7]",2.4182,"[7266, 7291]","[7494.7, 7520.7]",2.4635,"[22593, 22681]","[23286.0, 23376.0]",2.4241,"[17188, 17404]","[17718.0, 17942.0]"
2.4514,"[7701, 8484]","[7946.6, 8745.4]",2.3981,"[7351, 7558]","[7583.1, 7800.8]",2.4629,"[23188, 23241]","[23894.0, 23949.0]",2.4358,"[18321, 18396]","[18893.0, 18969.0]"
2.4643,"[10193, 10954]","[10506.0, 11298.0]",2.4049,"[8509, 9135]","[8770.9, 9409.6]",2.4772,"[23901, 24050]","[24634.0, 24789.0]",2.4153000000000002,"[18479, 18545]","[19054.0, 19121.0]"
2.4593499999999997,"[10982, 11146]","[11330.0, 11497.0]",2.4117,"[9191, 9291]","[9466.7, 9569.3]",2.4737,"[24800, 24903]","[25569.0, 25677.0]",2.4337,"[19216, 19403]","[19806.0, 19997.0]"
2.4517,"[11213, 11494]","[11566.0, 11853.0]",2.4176,"[9401, 10045]","[9682.7, 10352.0]",2.4605,"[25688, 25726]","[26481.0, 26520.0]",2.4474,"[20533, 20932]","[21162.0, 21577.0]"
2.4504,"[11762, 12063]","[12126.0, 12433.0]",2.4217,"[11170, 11189]","[11522.0, 11541.0]",2.4709,"[27616, 27725]","[28465.0, 28579.0]",2.4451,"[21079, 21101]","[21730.0, 21753.0]"
2.4537,"[13196, 13279]","[13597.0, 13684.0]",2.405,"[11519, 11738]","[11878.0, 12101.0]",2.4623,"[28214, 28287]","[29088.0, 29163.0]",2.4354,"[21255, 21362]","[21913.0, 22025.0]"
2.4481,"[14579, 17014]","[15038.0, 17537.0]",2.4024,"[12087, 12455]","[12458.0, 12833.0]",2.4603,"[28774, 28844]","[29668.0, 29739.0]",2.4736,"[26347, 26576]","[27153.0, 27387.0]"
2.4376,"[17428, 17633]","[17967.0, 18181.0]",2.40565,"[12604, 13010]","[12985.0, 13404.0]",2.4618,"[29493, 29543]","[30401.0, 30452.0]",2.4609,"[26668, 26694]","[27481.0, 27507.0]"
2.45185,"[17903, 17949]","[18462.0, 18510.0]",2.4123,"[13303, 13830]","[13709.0, 14257.0]",2.47325,"[29669, 29751]","[30581.0, 30664.0]",2.4622,"[29089, 29162]","[29989.0, 30064.0]"
2.457,"[17977, 18297]","[18542.0, 18868.0]",2.4155,"[14061, 14554]","[14497.0, 15013.0]",2.4732000000000003,"[30200, 30278]","[31124.0, 31204.0]",2.4598000000000004,"[30820, 31092]","[31768.0, 32051.0]"
2.4383,"[18420, 18454]","[18994.0, 19029.0]",2.4045,"[17038, 17135]","[17562.0, 17662.0]",2.4522500000000003,"[32503, 32569]","[33512.0, 33579.0]",2.4482,"[31312, 31534]","[32280.0, 32511.0]"
2.4564,"[18569, 19192]","[19146.0, 19781.0]",2.4007,"[17657, 17879]","[18206.0, 18437.0]",2.4647,"[33112, 33177]","[34133.0, 34199.0]",2.4644,"[35809, 35863]","[36924.0, 36979.0]"
2.4514,"[19427, 20509]","[20022.0, 21137.0]",2.41785,"[21125, 21185]","[21778.0, 21841.0]",2.4481,"[33804, 33888]","[34841.0, 34928.0]",2.4704,"[36911, 37207]","[38048.0, 38351.0]"
2.4619,"[20956, 21055]","[21602.0, 21705.0]",2.4113,"[21463, 21784]","[22134.0, 22461.0]",2.4656,"[34581, 34636]","[35649.0, 35707.0]",2.4592,"[37348, 37543]","[38497.0, 38699.0]"
2.4546,"[21209, 21231]","[21866.0, 21889.0]",2.4148,"[21953, 22564]","[22634.0, 23257.0]",2.4743,"[35173, 35209]","[36265.0, 36303.0]",2.4448,"[38228, 38361]","[39412.0, 39551.0]"
2.4654,"[21386, 21442]","[22050.0, 22108.0]",2.4237,"[22734, 23163]","[23430.0, 23869.0]",2.475,"[35740, 35785]","[36853.0, 36899.0]",2.4457,"[38717, 38916]","[39921.0, 40128.0]"
2.4861500000000003,"[26198, 26322]","[27001.0, 27128.0]",2.428,"[23265, 23877]","[23974.0, 24609.0]",2.4725,"[36245, 36357]","[37368.0, 37483.0]",2.4246,"[39249, 39284]","[40472.0, 40508.0]"
2.4821,"[26601, 26644]","[27412.0, 27456.0]",2.4323,"[24101, 24776]","[24842.0, 25545.0]",2.4437,"[39778, 39833]","[41012.0, 41068.0]",2.4685,"[41558, 41584]","[42844.0, 42871.0]"
2.4775,"[26719, 26775]","[27533.0, 27591.0]",2.4316,"[24967, 25664]","[25745.0, 26456.0]",2.4568,"[40327, 40380]","[41572.0, 41627.0]",,,
2.4815,"[30579, 30796]","[31517.0, 31743.0]",2.4304,"[25778, 26173]","[26573.0, 26976.0]",2.4647,"[40730, 40861]","[41984.0, 42119.0]",,,
2.46745,"[31116, 31288]","[32076.0, 32255.0]",2.4266,"[26800, 27510]","[27616.0, 28355.0]",,,,,,
2.4621,"[31558, 31928]","[32535.0, 32920.0]",2.4266,"[27539, 27592]","[28385.0, 28440.0]",,,,,,
2.442,"[31956, 31973]","[32953.0, 32971.0]",2.4324,"[27749, 27984]","[28604.0, 28848.0]",,,,,,
2.47095,"[37231, 37323]","[38376.0, 38471.0]",2.4274,"[28026, 28190]","[28892.0, 29063.0]",,,,,,
2.4686500000000002,"[37566, 38204]","[38724.0, 39387.0]",2.4302,"[28311, 28750]","[29188.0, 29643.0]",,,,,,
2.4635,"[38385, 38693]","[39576.0, 39896.0]",2.4314999999999998,"[28868, 29064]","[29764.0, 29964.0]",,,,,,
2.4557,"[38944, 39224]","[40161.0, 40447.0]",2.4335,"[29187, 29468]","[30089.0, 30376.0]",,,,,,
2.4461,"[39308, 39452]","[40533.0, 40680.0]",2.42865,"[29567, 29645]","[30477.0, 30556.0]",,,,,,
,,,2.4306,"[29775, 30176]","[30689.0, 31099.0]",,,,,,
,,,2.4327,"[30302, 30555]","[31229.0, 31492.0]",,,,,,
,,,2.4092,"[31998, 32479]","[32996.0, 33487.0]",,,,,,
,,,2.41715,"[32594, 33088]","[33604.0, 34108.0]",,,,,,
,,,2.4267,"[33222, 33631]","[34245.0, 34663.0]",,,,,,
,,,2.43335,"[33690, 33780]","[34724.0, 34816.0]",,,,,,
,,,2.4282,"[33912, 34557]","[34953.0, 35624.0]",,,,,,
,,,2.4318,"[34660, 35149]","[35732.0, 36240.0]",,,,,,
,,,2.4316500000000003,"[35233, 35715]","[36328.0, 36828.0]",,,,,,
,,,2.4308,"[35888, 36220]","[37004.0, 37343.0]",,,,,,
,,,2.4307,"[36382, 36886]","[37508.0, 38023.0]",,,,,,
,,,2.4128,"[39477, 39655]","[40705.0, 40887.0]",,,,,,
,,,2.4121,"[39712, 39753]","[40945.0, 40987.0]",,,,,,
,,,2.4187,"[39857, 40302]","[41093.0, 41547.0]",,,,,,
,,,2.4252,"[40405, 40705]","[41652.0, 41959.0]",,,,,,
,,,2.4242,"[40908, 41534]","[42168.0, 42819.0]",,,,,,
,,,2.428,"[41608, 41889]","[42896.0, 43188.0]",,,,,,
