state2.2
"[13.481, 490.22]"
"[698.88, 1113.1]"
"[1854.7, 2377.6]"
"[3923.0, 4192.7]"
"[4726.3, 4941.5]"
"[5319.0, 5489.3]"
"[6038.8, 6081.2]"
"[6502.2, 6748.7]"
"[7494.7, 7520.7]"
"[7583.1, 7800.8]"
"[8770.9, 9409.6]"
"[9466.7, 9569.3]"
"[9682.7, 10352.0]"
"[11522.0, 11541.0]"
"[11878.0, 12101.0]"
"[12458.0, 12833.0]"
"[12985.0, 13404.0]"
"[13709.0, 14257.0]"
"[14497.0, 15013.0]"
"[17562.0, 17662.0]"
"[18206.0, 18437.0]"
"[21778.0, 21841.0]"
"[22134.0, 22461.0]"
"[22634.0, 23257.0]"
"[23430.0, 23869.0]"
"[23974.0, 24609.0]"
"[24842.0, 25545.0]"
"[25745.0, 26456.0]"
"[26573.0, 26976.0]"
"[27616.0, 28355.0]"
"[28385.0, 28440.0]"
"[28604.0, 28848.0]"
"[28892.0, 29063.0]"
"[29188.0, 29643.0]"
"[29764.0, 29964.0]"
"[30089.0, 30376.0]"
"[30477.0, 30556.0]"
"[30689.0, 31099.0]"
"[31229.0, 31492.0]"
"[32996.0, 33487.0]"
"[33604.0, 34108.0]"
"[34245.0, 34663.0]"
"[34724.0, 34816.0]"
"[34953.0, 35624.0]"
"[35732.0, 36240.0]"
"[36328.0, 36828.0]"
"[37004.0, 37343.0]"
"[37508.0, 38023.0]"
"[40705.0, 40887.0]"
"[40945.0, 40987.0]"
"[41093.0, 41547.0]"
"[41652.0, 41959.0]"
"[42168.0, 42819.0]"
"[42896.0, 43188.0]"
