state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-266.055,"[950, 1334]","[988.98, 1391.4]",-2415.0,"[8, 141]","[8.738999999999999, 147.1]",1257.8,"[158, 279]","[164.78, 290.74]",-8505.9,"[296, 310]","[308.42, 322.98]"
15884.0,"[2610, 2644]","[2693.1, 2727.8]",-1621.1,"[327, 879]","[340.66, 915.02]",7538.3,"[896, 933]","[932.7, 971.3]",-3535.8,"[1810, 1840]","[1877.0, 1907.6]"
1593.9499999999998,"[2813, 2949]","[2900.7, 3039.5]",-2976.2,"[1355, 1659]","[1412.8, 1722.9]",-176.13,"[1676, 1793]","[1740.3, 1859.6]",-7288.049999999999,"[2402, 2432]","[2480.9, 2511.5]"
2052.55,"[3768, 3978]","[3888.5, 4107.0]",-2739.7,"[1857, 2232]","[1924.9, 2307.5]",280.15,"[2249, 2385]","[2324.8, 2463.5]",1001.9,"[2661, 2796]","[2745.1, 2883.3]"
-2111.0,"[4256, 4405]","[4396.3, 4551.3]",-2451.05,"[2449, 2593]","[2528.9, 2675.7]",3235.3,"[3707, 3751]","[3825.1, 3870.9]",26846.0,"[4222, 4239]","[4360.9, 4378.6]"
307.65,"[5744, 6173]","[5928.3, 6366.0]",-2293.8,"[2966, 3690]","[3056.9, 3807.4]",-636.8,"[4822, 4931]","[4987.7, 5098.9]",-2013.25,"[6190, 6252]","[6383.7, 6446.9]"
1616.3,"[6383, 6460]","[6580.6, 6659.2]",-1648.95,"[3995, 4205]","[4124.7, 4343.3]",1004.065,"[5607, 5727]","[5788.5, 5911.0]",4634.6,"[8229, 8255]","[8496.4, 8523.5]"
-2544.4,"[7187, 7270]","[7412.3, 7498.7]",-1852.4,"[4422, 4805]","[4569.1, 4970.4]",-604.33,"[7475, 7574]","[7711.9, 7814.9]",-1725.0,"[8891, 8991]","[9176.7, 9278.6]"
1781.9,"[7929, 7950]","[8184.2, 8206.1]",-2254.7,"[4948, 5590]","[5116.2, 5771.2]",-260.23,"[7783, 7912]","[8032.4, 8166.5]",712.645,"[12085, 12155]","[12472.0, 12543.0]"
-509.21000000000004,"[8272, 8874]","[8545.2, 9159.3]",-2780.3,"[6269, 6366]","[6464.3, 6563.2]",1282.6,"[9882, 9983]","[10188.0, 10291.0]",648.91,"[14545, 14613]","[15000.0, 15071.0]"
944.55,"[9008, 9250]","[9296.0, 9542.8]",-1913.3,"[6477, 7170]","[6676.6, 7394.6]",712.255,"[10388, 10438]","[10708.0, 10760.0]",-446.33000000000004,"[14925, 14991]","[15396.0, 15464.0]"
37100.5,"[11034, 11040]","[11380.0, 11387.0]",-1181.5,"[7287, 7458]","[7516.3, 7694.2]",3524.9,"[10611, 10675]","[10940.0, 11007.0]",-818.46,"[15304, 15392]","[15793.0, 15883.0]"
-7484.3,"[11980, 12069]","[12364.0, 12455.0]",-2259.6,"[7591, 7766]","[7832.6, 8014.7]",2541.3,"[10864, 10934]","[11203.0, 11276.0]",-2969.65,"[15950, 15996]","[16452.0, 16499.0]"
1025.4,"[12176, 12932]","[12564.0, 13336.0]",-4454.7,"[7967, 8212]","[8223.7, 8478.7]",218.69,"[11323, 11428]","[11681.0, 11790.0]",1370.4,"[16161, 16228]","[16668.0, 16736.0]"
