state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.62165,"[950, 1334]","[988.98, 1391.4]",2.5908,"[8, 141]","[8.738999999999999, 147.1]",2.638,"[158, 279]","[164.78, 290.74]",2.6045,"[296, 310]","[308.42, 322.98]"
2.62555,"[2610, 2644]","[2693.1, 2727.8]",2.593,"[327, 879]","[340.66, 915.02]",2.634,"[896, 933]","[932.7, 971.3]",2.6110499999999996,"[1810, 1840]","[1877.0, 1907.6]"
2.618,"[2813, 2949]","[2900.7, 3039.5]",2.5829,"[1355, 1659]","[1412.8, 1722.9]",2.6358,"[1676, 1793]","[1740.3, 1859.6]",2.60445,"[2402, 2432]","[2480.9, 2511.5]"
2.6229,"[3768, 3978]","[3888.5, 4107.0]",2.5832,"[1857, 2232]","[1924.9, 2307.5]",2.63585,"[2249, 2385]","[2324.8, 2463.5]",2.6089,"[2661, 2796]","[2745.1, 2883.3]"
2.62,"[4256, 4405]","[4396.3, 4551.3]",2.588,"[2449, 2593]","[2528.9, 2675.7]",2.6269,"[3707, 3751]","[3825.1, 3870.9]",2.6266,"[4222, 4239]","[4360.9, 4378.6]"
2.6181,"[5744, 6173]","[5928.3, 6366.0]",2.5928,"[2966, 3690]","[3056.9, 3807.4]",2.6377,"[4822, 4931]","[4987.7, 5098.9]",2.60585,"[6190, 6252]","[6383.7, 6446.9]"
2.6278,"[6383, 6460]","[6580.6, 6659.2]",2.59145,"[3995, 4205]","[4124.7, 4343.3]",2.6447,"[5607, 5727]","[5788.5, 5911.0]",2.6123,"[8229, 8255]","[8496.4, 8523.5]"
2.63,"[7187, 7270]","[7412.3, 7498.7]",2.5965,"[4422, 4805]","[4569.1, 4970.4]",2.6319999999999997,"[7475, 7574]","[7711.9, 7814.9]",2.6252500000000003,"[8891, 8991]","[9176.7, 9278.6]"
2.6207,"[7929, 7950]","[8184.2, 8206.1]",2.5989999999999998,"[4948, 5590]","[5116.2, 5771.2]",2.6451,"[7783, 7912]","[8032.4, 8166.5]",2.6208,"[12085, 12155]","[12472.0, 12543.0]"
