state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.0017638,"[12, 406]","[12.821, 414.94]",-0.00960205,"[757, 1009]","[776.56, 1038.6]",0.00083334,"[6582, 6655]","[6789.1, 6863.5]",-0.0095318,"[431, 464]","[440.62, 474.32]"
0.0012868,"[489, 732]","[499.86, 750.66]",-0.0054736,"[1414, 1659]","[1459.9, 1714.8]",0.0073553,"[9543, 9562]","[9848.2, 9867.5]",0.010176,"[2306, 2343]","[2388.9, 2426.7]"
0.00310935,"[1033, 1389]","[1063.6, 1433.9]",-0.00541965,"[2121, 2281]","[2195.5, 2363.4]",-0.00375585,"[11067, 11131]","[11404.0, 11470.0]",-0.00071954,"[2780, 2892]","[2872.6, 2986.8]"
0.001008155,"[1684, 2020]","[1740.8, 2090.4]",-0.0044623,"[5978, 6557]","[6172.7, 6763.6]",-0.005455949999999999,"[11721, 11737]","[12084.0, 12100.0]",-0.0012305,"[3407, 3488]","[3512.2, 3594.8]"
0.0044503,"[2368, 2755]","[2452.2, 2847.1]",-0.0086623,"[7177, 7508]","[7396.5, 7735.2]",0.0024771000000000003,"[14231, 14297]","[14666.0, 14733.0]",0.002194,"[4091, 4224]","[4212.5, 4350.6]"
0.0027419,"[2917, 3382]","[3012.3, 3486.7]",-0.0054275,"[8237, 8588]","[8493.3, 8858.5]",0.013018,"[14663, 14685]","[15110.0, 15133.0]",-0.0041245,"[4934, 5093]","[5089.2, 5254.6]"
0.0019577,"[3513, 4066]","[3620.3, 4186.5]",-0.0050555,"[9055, 9518]","[9344.5, 9822.7]",-0.001319,"[16509, 16586]","[17026.0, 17105.0]",0.00519505,"[5199, 5251]","[5364.8, 5418.9]"
0.00312135,"[4249, 4909]","[4376.6, 5063.2]",-0.004815,"[10022, 10249]","[10337.0, 10568.0]",0.008365000000000001,"[22412, 22446]","[23108.0, 23143.0]",0.0015105,"[6707, 6812]","[6916.6, 7023.7]"
0.0060734,"[5117, 5174]","[5279.6, 5338.8]",-0.005917749999999999,"[10598, 11042]","[10924.0, 11379.0]",0.00060726,"[22609, 22689]","[23313.0, 23396.0]",-0.013636,"[6939, 6964]","[7153.2, 7178.7]"
0.0043725,"[5275, 5637]","[5443.9, 5820.5]",-0.0060202,"[11321, 11697]","[11668.0, 12059.0]",-0.0016087,"[23032, 23115]","[23753.0, 23840.0]",-0.0010033449999999999,"[7568, 7708]","[7797.3, 7942.9]"
0.0029867,"[5664, 5953]","[5852.4, 6147.2]",-0.004831,"[12030, 12289]","[12405.0, 12675.0]",-0.00074369,"[23146, 23173]","[23876.0, 23903.0]",-0.007722,"[8055, 8112]","[8303.8, 8363.3]"
0.0037515,"[6837, 6914]","[7049.2, 7127.7]",-0.012919,"[12653, 12678]","[13055.0, 13081.0]",0.0046714,"[25716, 25733]","[26513.0, 26531.0]",-0.0039365,"[8683, 8819]","[8957.3, 9098.9]"
-0.0016224,"[6989, 7152]","[7204.2, 7371.0]",-0.0067129500000000005,"[12774, 13044]","[13179.0, 13454.0]",0.0062904,"[26154, 26203]","[26969.0, 27020.0]",-0.0005431,"[9626, 9781]","[9932.8, 10091.0]"
0.002255,"[7732, 8031]","[7967.9, 8278.8]",0.00089727,"[13088, 13193]","[13499.0, 13606.0]",0.0012442999999999998,"[26807, 26951]","[27649.0, 27796.0]",0.001463,"[10464, 10515]","[10788.0, 10840.0]"
0.0022377,"[8137, 8212]","[8389.3, 8467.3]",-0.00388,"[13280, 13491]","[13695.0, 13910.0]",0.0025704,"[27599, 27758]","[28457.0, 28619.0]",0.00244245,"[12363, 12435]","[12752.0, 12827.0]"
0.0048243,"[8613, 8658]","[8884.5, 8931.3]",-0.0036230999999999998,"[13762, 13964]","[14187.0, 14393.0]",-0.0008925,"[29672, 29821]","[30597.0, 30752.0]",-0.00052815,"[13593, 13666]","[14014.0, 14089.0]"
0.0015007,"[8843, 9031]","[9123.9, 9319.5]",-0.00169115,"[14075, 14207]","[14506.0, 14641.0]",0.0007054699999999999,"[30502, 30678]","[31459.0, 31638.0]",-0.00088437,"[15140, 15239]","[15606.0, 15709.0]"
0.0027374,"[9806, 9997]","[10116.0, 10311.0]",-0.004094,"[14346, 14639]","[14783.0, 15085.0]",0.0053884,"[33654, 33739]","[34711.0, 34798.0]",0.0005886655,"[15628, 15740]","[16114.0, 16230.0]"
0.00098736,"[10273, 10440]","[10593.0, 10763.0]",-0.004624700000000001,"[14709, 14831]","[15158.0, 15284.0]",0.00082215,"[34241, 34264]","[35310.0, 35333.0]",-0.00057742,"[17242, 17370]","[17774.0, 17905.0]"
0.0062019,"[10540, 10573]","[10865.0, 10899.0]",-0.0054855,"[16082, 16484]","[16586.0, 17001.0]",0.0011981,"[34571, 34622]","[35646.0, 35698.0]",-0.00190975,"[17791, 17849]","[18334.0, 18393.0]"
0.00031675,"[11156, 11297]","[11496.0, 11643.0]",-0.00505,"[16611, 16829]","[17130.0, 17353.0]",-0.0002987035,"[36123, 36249]","[37242.0, 37373.0]",0.000176495,"[19305, 19363]","[19906.0, 19966.0]"
0.00017282,"[11761, 12006]","[12125.0, 12380.0]",-0.00468525,"[16967, 17217]","[17494.0, 17749.0]",0.007682100000000001,"[36943, 36983]","[38095.0, 38137.0]",-0.0019081999999999999,"[20240, 20542]","[20872.0, 21180.0]"
-0.00094619,"[12313, 12339]","[12700.0, 12727.0]",-0.005841,"[18803, 19100]","[19383.0, 19692.0]",-0.00074861,"[37363, 37486]","[38533.0, 38659.0]",-0.0100463,"[20698, 20738]","[21340.0, 21380.0]"
