state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
255180.0,"[12, 271]","[12.6, 276.84]",237530.0,"[296, 325]","[302.34, 331.98]",237480.0,"[2575, 2741]","[2657.5, 2830.2]",242590.0,"[2800, 3037]","[2895.2, 3136.9]"
264100.0,"[883, 1038]","[901.4, 1060.1]",238380.0,"[382, 858]","[390.12, 875.86]",233170.0,"[8156, 8201]","[8397.4, 8444.1]",234810.0,"[5087, 5140]","[5238.0, 5293.1]"
261660.0,"[1453, 1759]","[1490.0, 1808.3]",234860.0,"[1063, 1428]","[1085.7, 1464.0]",219575.0,"[9251, 9327]","[9536.9, 9615.9]",235425.0,"[5476, 5816]","[5642.8, 5996.5]"
243500.0,"[2130, 2243]","[2194.3, 2311.8]",233050.0,"[1784, 2105]","[1834.3, 2168.2]",233700.0,"[9716, 9767]","[10021.0, 10076.0]",241480.0,"[10814, 10880]","[11144.0, 11211.0]"
254400.0,"[3062, 3375]","[3162.4, 3481.8]",230280.0,"[2268, 2551]","[2337.8, 2632.5]",233770.0,"[10301, 10378]","[10620.0, 10699.0]",246370.0,"[13253, 13419]","[13669.0, 13839.0]"
239690.0,"[4031, 4092]","[4151.1, 4213.3]",224670.0,"[3400, 3680]","[3507.3, 3792.9]",242470.0,"[11288, 11476]","[11628.0, 11820.0]",240105.0,"[14048, 14408]","[14480.0, 14848.0]"
234715.0,"[4438, 4530]","[4566.7, 4660.8]",220410.0,"[3725, 4006]","[3838.8, 4125.6]",233365.0,"[12344, 12410]","[12720.0, 12788.0]",239650.0,"[15445, 15753]","[15912.0, 16232.0]"
251790.0,"[4788, 5063]","[4927.1, 5213.0]",221450.0,"[4117, 4413]","[4238.8, 4541.2]",226960.0,"[15292, 15365]","[15752.0, 15828.0]",236450.0,"[16110, 16282]","[16604.0, 16782.0]"
253630.0,"[5164, 5451]","[5318.1, 5616.8]",219905.0,"[4555, 4763]","[4686.4, 4901.2]",237690.0,"[17160, 17251]","[17692.0, 17784.0]",236775.0,"[16812, 16940]","[17336.0, 17467.0]"
250850.0,"[5841, 5936]","[6022.5, 6121.4]",217960.0,"[5960, 6255]","[6146.5, 6456.0]",234050.0,"[18434, 18527]","[18992.0, 19087.0]",241980.0,"[17682, 17728]","[18224.0, 18271.0]"
