state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.20505,"[12, 142]","[12.819, 148.02]",4.158,"[166, 563]","[173.04, 586.3]",4.2212,"[588, 606]","[612.3, 631.02]",4.181,"[2262, 2409]","[2333.1, 2483.1]"
4.2153,"[2434, 2949]","[2508.6, 3035.3]",4.1633,"[657, 1178]","[684.06, 1227.3]",4.239,"[1203, 1300]","[1252.8, 1351.7]",4.17745,"[3843, 3945]","[3964.7, 4070.8]"
4.191800000000001,"[3969, 3987]","[4095.8, 4114.5]",4.1644,"[1348, 1809]","[1400.7, 1871.0]",4.2052,"[3432, 3484]","[3537.1, 3591.2]",4.162,"[4151, 4330]","[4285.0, 4471.4]"
4.2022,"[4355, 4503]","[4497.4, 4651.3]",4.16385,"[1873, 2205]","[1936.3, 2275.0]",4.211,"[3786, 3818]","[3905.4, 3938.6]",4.14855,"[4531, 4789]","[4684.4, 4947.5]"
4.1724,"[4814, 5090]","[4973.0, 5254.7]",4.1455,"[2974, 3295]","[3061.2, 3394.6]",4.18115,"[6001, 6019]","[6184.4, 6202.8]",4.1503,"[5355, 5510]","[5525.0, 5683.1]"
4.1837,"[5147, 5212]","[5312.8, 5379.1]",4.1524,"[3339, 3407]","[3440.4, 3511.1]",4.1921,"[6651, 6734]","[6853.0, 6939.4]",4.1459,"[6103, 6211]","[6288.5, 6398.7]"
4.18445,"[5668, 5698]","[5844.3, 5875.0]",4.1582,"[3508, 3761]","[3616.2, 3879.4]",4.2052,"[7111, 7253]","[7331.5, 7479.2]",4.1616,"[7335, 7476]","[7564.5, 7711.2]"
4.16925,"[6044, 6078]","[6228.3, 6263.0]",4.1514,"[4012, 4126]","[4140.5, 4259.0]",4.1911,"[8761, 8830]","[9035.2, 9105.6]",4.1488,"[7966, 8003]","[8221.0, 8259.5]"
4.16505,"[6236, 6266]","[6424.2, 6454.9]",4.1334,"[5237, 5330]","[5404.6, 5499.5]",4.2001,"[9317, 9406]","[9602.5, 9693.2]",4.1282,"[8031, 8093]","[8290.5, 8353.7]"
4.1829,"[7501, 7941]","[7737.2, 8195.0]",4.1274,"[5566, 5643]","[5740.2, 5818.8]",4.2163,"[17657, 17792]","[18202.0, 18342.0]",4.15055,"[9544, 9700]","[9834.4, 9993.6]"
