state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
1278.9,"[12, 318]","[12.403, 324.62]",-1395.5,"[343, 404]","[350.12, 412.36]",-140.29,"[1667, 1820]","[1717.6, 1876.9]",11588.5,"[429, 459]","[437.86, 468.5]"
3560.0,"[770, 827]","[786.1, 844.5]",-1440.1,"[484, 745]","[494.02, 760.44]",-162.05,"[4008, 4065]","[4124.8, 4183.0]",-377.425,"[2898, 3034]","[2992.4, 3131.1]"
-409.44,"[2444, 2873]","[2526.3, 2966.9]",-2494.6,"[852, 1643]","[870.22, 1692.6]",-204.17450000000002,"[5159, 5223]","[5316.6, 5383.2]",-654.125,"[3518, 3618]","[3624.9, 3726.9]"
-124.775,"[3059, 3493]","[3156.6, 3599.4]",-1870.1999999999998,"[1845, 2419]","[1902.9, 2500.3]",498.49,"[7836, 7947]","[8068.9, 8183.1]",-439.49,"[4090, 4419]","[4208.5, 4546.5]"
-0.31754,"[3643, 3712]","[3752.4, 3822.8]",-1912.9,"[3737, 3983]","[3848.3, 4099.3]",91.739,"[28281, 28316]","[29149.0, 29184.0]",997.6,"[5247, 5338]","[5408.2, 5502.9]"
1214.7,"[4444, 4719]","[4572.5, 4858.7]",-1714.65,"[4744, 5134]","[4884.7, 5290.6]",854.77,"[29098, 29184]","[29989.0, 30079.0]",178.27499999999998,"[5424, 5476]","[5592.4, 5646.5]"
4554.5,"[5362, 5399]","[5527.9, 5566.4]",-1185.55,"[5793, 5969]","[5976.4, 6159.5]",1367.3,"[29867, 29903]","[30789.0, 30827.0]",-1554.0,"[5994, 6172]","[6189.4, 6370.9]"
-787.9,"[5500, 5769]","[5671.5, 5951.4]",-2299.7,"[6534, 6756]","[6740.2, 6966.7]",-358.155,"[36626, 36698]","[37756.0, 37831.0]",-1032.73,"[6338, 6396]","[6540.3, 6599.4]"
3158.5,"[6264, 6313]","[6464.7, 6514.7]",-1392.6,"[7001, 7486]","[7216.6, 7711.4]",6684.5,"[38006, 38032]","[39184.0, 39211.0]",565.81,"[6817, 6870]","[7028.9, 7083.0]"
227.95,"[6421, 6509]","[6624.9, 6714.7]",-608.61,"[7538, 7615]","[7764.4, 7843.0]",410.08,"[40699, 40825]","[41960.0, 42091.0]",-3019.45,"[8713, 8843]","[8979.9, 9115.2]"
496.2,"[6895, 6976]","[7108.5, 7191.1]",-670.78,"[7660, 7811]","[7888.9, 8043.3]",,,,3772.1,"[8913, 8966]","[9188.1, 9243.2]"
141.5,"[7972, 8689]","[8209.0, 8954.9]",-2471.9,"[9628, 9673]","[9934.2, 9980.1]",,,,-499.52,"[10016, 10129]","[10330.0, 10445.0]"
2763.8,"[8867, 8890]","[9140.2, 9164.1]",-1340.75,"[9726, 9818]","[10034.0, 10128.0]",,,,-2892.0,"[10823, 10896]","[11153.0, 11228.0]"
-10.826,"[8990, 9603]","[9268.2, 9908.7]",-1997.15,"[9863, 9991]","[10174.0, 10305.0]",,,,-248.67,"[11493, 11612]","[11841.0, 11964.0]"
-273.11,"[10153, 10798]","[10470.0, 11128.0]",-1685.8000000000002,"[10971, 11469]","[11305.0, 11816.0]",,,,-2635.8,"[11993, 12042]","[12361.0, 12412.0]"
-1163.7,"[10920, 10947]","[11253.0, 11280.0]",-3568.2,"[12987, 13032]","[13397.0, 13443.0]",,,,561.11,"[12360, 12401]","[12742.0, 12785.0]"
989.21,"[11637, 11969]","[11990.0, 12336.0]",-2262.95,"[16017, 16129]","[16512.0, 16628.0]",,,,1161.4,"[12493, 12546]","[12881.0, 12936.0]"
533.565,"[12066, 12336]","[12437.0, 12717.0]",-1195.65,"[17699, 17827]","[18241.0, 18372.0]",,,,-274.254,"[12921, 12963]","[13326.0, 13370.0]"
1724.8,"[12425, 12469]","[12810.0, 12856.0]",-1524.5,"[19789, 19907]","[20404.0, 20527.0]",,,,-470.33500000000004,"[13057, 13237]","[13469.0, 13652.0]"
-455.79,"[12570, 12897]","[12961.0, 13301.0]",-1206.3,"[20381, 20561]","[21016.0, 21199.0]",,,,-1049.32,"[13295, 13349]","[13712.0, 13767.0]"
452.53,"[13550, 14683]","[13972.0, 15128.0]",-577.9949999999999,"[23250, 23326]","[23969.0, 24048.0]",,,,-867.72,"[13406, 13526]","[13825.0, 13947.0]"
-168.91,"[14883, 15291]","[15332.0, 15756.0]",-901.52,"[25926, 26135]","[26721.0, 26939.0]",,,,-890.4449999999999,"[14708, 14858]","[15153.0, 15307.0]"
-354.72,"[15446, 15620]","[15917.0, 16098.0]",-1943.5,"[26764, 26993]","[27593.0, 27835.0]",,,,627.51,"[15315, 15422]","[15781.0, 15892.0]"
1082.8,"[15711, 15864]","[16193.0, 16352.0]",-1011.1,"[27834, 28257]","[28693.0, 29124.0]",,,,-2594.2,"[15645, 15687]","[16124.0, 16168.0]"
-56.21499999999999,"[15925, 15993]","[16416.0, 16487.0]",-965.965,"[28383, 28633]","[29253.0, 29508.0]",,,,-533.59,"[16153, 16312]","[16653.0, 16819.0]"
320.94,"[16336, 16456]","[16843.0, 16968.0]",-781.75,"[28680, 28788]","[29556.0, 29667.0]",,,,-148.99,"[17115, 17231]","[17645.0, 17764.0]"
573.2,"[16484, 17090]","[17001.0, 17620.0]",-1339.6,"[28843, 29074]","[29724.0, 29964.0]",,,,-1931.35,"[17852, 17964]","[18397.0, 18512.0]"
693.72,"[17256, 17674]","[17789.0, 18216.0]",-1449.7,"[29266, 29843]","[30164.0, 30764.0]",,,,-902.755,"[19210, 19336]","[19801.0, 19932.0]"
357.49,"[17989, 19186]","[18537.0, 19776.0]",-990.81,"[29927, 30072]","[30852.0, 31002.0]",,,,-1853.7,"[19702, 19765]","[20313.0, 20379.0]"
1665.65,"[19360, 19678]","[19957.0, 20288.0]",-1613.9499999999998,"[34812, 34954]","[35887.0, 36032.0]",,,,-4638.9,"[19931, 19954]","[20552.0, 20576.0]"
