state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.0007764149999999999,"[12, 1750]","[13.019, 1788.3]",-0.0036174,"[2621, 3034]","[2693.8, 3123.7]",0.0018229,"[5375, 5462]","[5526.6, 5617.1]",-0.0012377,"[1775, 1846]","[1814.1, 1887.8]"
0.0013388,"[1871, 2596]","[1913.8, 2667.8]",-0.0054471,"[4503, 4592]","[4634.1, 4724.9]",-0.00039193,"[11555, 11664]","[11903.0, 12014.0]",0.00481865,"[3480, 3534]","[3590.0, 3645.1]"
0.00074021,"[3059, 3361]","[3149.7, 3464.3]",-0.002541,"[4633, 4957]","[4766.7, 5097.3]",0.0027392,"[24366, 24416]","[25121.0, 25172.0]",-0.0032655,"[3759, 3851]","[3874.8, 3968.6]"
0.00644195,"[3391, 3455]","[3499.2, 3564.5]",-0.0042377,"[5005, 5094]","[5146.3, 5237.0]",-0.00016135500000000002,"[24742, 24870]","[25505.0, 25636.0]",-0.0027504,"[4284, 4365]","[4410.4, 4493.0]"
-0.00058509,"[3559, 3734]","[3670.6, 3849.3]",-0.0046587,"[5139, 5350]","[5283.1, 5500.6]",0.0029944,"[25611, 25728]","[26392.0, 26511.0]",-0.00342215,"[6289, 6323]","[6477.4, 6512.8]"
0.00041879,"[3876, 4259]","[3994.1, 4384.9]",-0.0032781,"[5487, 5592]","[5643.0, 5752.3]",0.00057886,"[29446, 29602]","[30344.0, 30503.0]",0.001373,"[6497, 6638]","[6693.8, 6840.5]"
-0.000820755,"[4390, 4478]","[4518.5, 4608.6]",-0.0019825,"[11221, 11530]","[11562.0, 11878.0]",0.0017076,"[33437, 33559]","[34457.0, 34584.0]",0.00078215,"[6725, 6746]","[6931.0, 6952.8]"
0.000663135,"[5617, 6265]","[5778.3, 6452.4]",-0.0019259,"[11688, 12238]","[12039.0, 12601.0]",0.0001223175,"[35701, 35749]","[36800.0, 36848.0]",-0.0022935,"[7173, 7293]","[7395.2, 7517.6]"
-0.0005553649999999999,"[6347, 6473]","[6537.8, 6668.8]",-0.00624895,"[21971, 22063]","[22641.0, 22735.0]",-0.00075858,"[36071, 36159]","[37177.0, 37267.0]",-0.011356999999999999,"[7906, 7924]","[8143.0, 8161.3]"
0.0046875,"[6662, 6700]","[6865.5, 6905.0]",-0.00320855,"[22916, 23046]","[23609.0, 23744.0]",,,,0.00090063,"[8462, 8602]","[8710.6, 8853.5]"
0.0059308,"[6770, 6862]","[6977.8, 7073.5]",-0.0046068,"[24068, 24091]","[24808.0, 24831.0]",,,,0.00093393,"[8736, 8793]","[8990.7, 9049.4]"
-0.000128899,"[6890, 7148]","[7106.5, 7369.7]",-0.0055412,"[24145, 24217]","[24888.0, 24963.0]",,,,0.0013367,"[8986, 9135]","[9249.8, 9405.0]"
0.0012637,"[7318, 7881]","[7543.1, 8117.5]",-0.0023105,"[24265, 24341]","[25012.0, 25092.0]",,,,-0.0065991999999999995,"[9433, 9473]","[9715.1, 9756.7]"
0.00170945,"[7949, 8437]","[8186.9, 8685.1]",-0.002334,"[24440, 24717]","[25197.0, 25480.0]",,,,-0.00243245,"[9820, 9928]","[10118.0, 10230.0]"
0.0027042000000000004,"[8627, 8711]","[8879.1, 8965.0]",-0.0024355,"[24925, 25587]","[25692.0, 26367.0]",,,,-0.0069215,"[10622, 10723]","[10951.0, 11054.0]"
0.000889955,"[8818, 8962]","[9075.2, 9224.9]",-0.0025119499999999998,"[25816, 26312]","[26601.0, 27111.0]",,,,-0.0009529,"[10927, 10985]","[11262.0, 11322.0]"
0.00134545,"[9160, 9408]","[9431.0, 9689.1]",-0.01335,"[28891, 28936]","[29777.0, 29823.0]",,,,-0.0022071499999999997,"[12341, 12371]","[12707.0, 12738.0]"
0.0024183,"[9497, 9796]","[9781.7, 10093.0]",-0.004421,"[28981, 29422]","[29869.0, 30319.0]",,,,0.0005268250000000001,"[12870, 12932]","[13258.0, 13322.0]"
