state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
458850.0,"[11, 1210]","[514.28, 1737.4]",444940.0,"[2921, 3066]","[3505.8, 3656.6]",430140.0,"[25866, 26033]","[27145.0, 27316.0]",457830.0,"[1235, 1280]","[1762.9, 1808.8]"
455310.0,"[1305, 1496]","[1834.3, 2029.3]",443440.0,"[3156, 3443]","[3750.4, 4048.9]",429215.0,"[27720, 27814]","[29065.0, 29163.0]",457595.0,"[1521, 1609]","[2054.8, 2144.7]"
455170.0,"[1634, 1839]","[2170.4, 2380.6]",432145.0,"[10013, 10081]","[10817.0, 10887.0]",,,,453120.0,"[1864, 1909]","[2406.3, 2452.9]"
453120.0,"[1933, 2005]","[2477.9, 2552.7]",432710.0,"[10172, 10289]","[10982.0, 11104.0]",,,,450610.0,"[2030, 2082]","[2578.7, 2632.9]"
447770.0,"[2107, 2678]","[2658.9, 3252.8]",432260.0,"[10500, 10557]","[11325.0, 11383.0]",,,,446890.0,"[2703, 2751]","[3278.8, 3328.7]"
445900.0,"[2848, 2897]","[3429.8, 3480.7]",431705.0,"[10695, 11055]","[11524.0, 11891.0]",,,,448600.0,"[2802, 2824]","[3381.7, 3404.8]"
445550.0,"[3091, 3132]","[3682.6, 3725.2]",430230.0,"[11335, 11380]","[12177.0, 12223.0]",,,,438735.0,"[3812, 3846]","[4430.4, 4465.1]"
438950.0,"[3468, 3787]","[4074.9, 4404.9]",431430.0,"[11441, 11678]","[12285.0, 12527.0]",,,,440595.0,"[4040, 4070]","[4663.0, 4693.6]"
439915.0,"[3871, 4015]","[4490.6, 4637.5]",427650.0,"[12309, 12394]","[13172.0, 13260.0]",,,,441860.0,"[4263, 4317]","[4890.5, 4945.6]"
440950.0,"[4095, 4238]","[4719.1, 4865.0]",431005.0,"[12513, 12701]","[13384.0, 13579.0]",,,,432420.0,"[8453, 8510]","[9201.5, 9259.7]"
433040.0,"[4342, 8428]","[4971.1, 9176.0]",430655.0,"[12795, 13067]","[13677.0, 13960.0]",,,,429810.0,"[9786, 9820]","[10581.0, 10616.0]"
432230.0,"[8535, 9762]","[9285.2, 10556.0]",430690.0,"[13164, 13350]","[14061.0, 14255.0]",,,,431235.0,"[9906, 9966]","[10705.0, 10768.0]"
433220.0,"[9844, 9882]","[10641.0, 10680.0]",425990.0,"[14397, 14471]","[15338.0, 15413.0]",,,,433860.0,"[16645, 16708]","[17647.0, 17713.0]"
435925.0,"[10106, 10148]","[10913.0, 10957.0]",430075.0,"[14563, 14601]","[15507.0, 15546.0]",,,,430590.0,"[17320, 17355]","[18350.0, 18386.0]"
435140.0,"[10313, 10476]","[11129.0, 11298.0]",430330.0,"[14684, 14910]","[15630.0, 15861.0]",,,,429540.0,"[17675, 17716]","[18719.0, 18761.0]"
