state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.5054,"[11, 1210]","[514.28, 1737.4]",2.5052,"[2921, 3066]","[3505.8, 3656.6]",2.5119,"[25866, 26033]","[27145.0, 27316.0]",2.5184,"[1235, 1280]","[1762.9, 1808.8]"
2.5156,"[1305, 1496]","[1834.3, 2029.3]",2.5069,"[3156, 3443]","[3750.4, 4048.9]",2.5103,"[27720, 27814]","[29065.0, 29163.0]",2.51975,"[1521, 1609]","[2054.8, 2144.7]"
2.5173,"[1634, 1839]","[2170.4, 2380.6]",2.4917499999999997,"[10013, 10081]","[10817.0, 10887.0]",,,,2.5111,"[1864, 1909]","[2406.3, 2452.9]"
2.5118,"[1933, 2005]","[2477.9, 2552.7]",2.4971,"[10172, 10289]","[10982.0, 11104.0]",,,,2.5096499999999997,"[2030, 2082]","[2578.7, 2632.9]"
2.5013,"[2107, 2678]","[2658.9, 3252.8]",2.4942,"[10500, 10557]","[11325.0, 11383.0]",,,,2.50285,"[2703, 2751]","[3278.8, 3328.7]"
2.5024,"[2848, 2897]","[3429.8, 3480.7]",2.4972,"[10695, 11055]","[11524.0, 11891.0]",,,,2.5042,"[2802, 2824]","[3381.7, 3404.8]"
2.5028,"[3091, 3132]","[3682.6, 3725.2]",2.4938,"[11335, 11380]","[12177.0, 12223.0]",,,,2.4932499999999997,"[3812, 3846]","[4430.4, 4465.1]"
2.4935,"[3468, 3787]","[4074.9, 4404.9]",2.4964,"[11441, 11678]","[12285.0, 12527.0]",,,,2.4908,"[4040, 4070]","[4663.0, 4693.6]"
2.4926,"[3871, 4015]","[4490.6, 4637.5]",2.4854,"[12309, 12394]","[13172.0, 13260.0]",,,,2.49405,"[4263, 4317]","[4890.5, 4945.6]"
2.4892,"[4095, 4238]","[4719.1, 4865.0]",2.4929,"[12513, 12701]","[13384.0, 13579.0]",,,,2.4813,"[8453, 8510]","[9201.5, 9259.7]"
2.4752,"[4342, 8428]","[4971.1, 9176.0]",2.4932,"[12795, 13067]","[13677.0, 13960.0]",,,,2.4876,"[9786, 9820]","[10581.0, 10616.0]"
2.4807,"[8535, 9762]","[9285.2, 10556.0]",2.49235,"[13164, 13350]","[14061.0, 14255.0]",,,,2.4883,"[9906, 9966]","[10705.0, 10768.0]"
2.4882,"[9844, 9882]","[10641.0, 10680.0]",2.4829499999999998,"[14397, 14471]","[15338.0, 15413.0]",,,,2.4929,"[16645, 16708]","[17647.0, 17713.0]"
2.4928,"[10106, 10148]","[10913.0, 10957.0]",2.4893,"[14563, 14601]","[15507.0, 15546.0]",,,,2.4821,"[17320, 17355]","[18350.0, 18386.0]"
2.4951,"[10313, 10476]","[11129.0, 11298.0]",2.4923,"[14684, 14910]","[15630.0, 15861.0]",,,,2.4862,"[17675, 17716]","[18719.0, 18761.0]"
2.4938,"[10581, 10670]","[11408.0, 11498.0]",2.4894,"[15500, 15574]","[16463.0, 16538.0]",,,,2.4849,"[20097, 20162]","[21206.0, 21273.0]"
