state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-7.96725e-06,"[12, 1432]","[13.032, 1466.3]",-0.00048096999999999994,"[8782, 8900]","[9042.7, 9165.4]",0.0001444595,"[23280, 23302]","[23988.0, 24011.0]",0.00052602,"[1456, 1494]","[1491.3, 1530.7]"
-0.00025259,"[1519, 2059]","[1556.7, 2118.4]",-0.000847085,"[10445, 10471]","[10763.0, 10790.0]",0.00026757,"[24053, 24134]","[24790.0, 24873.0]",0.00088763,"[2084, 2125]","[2144.4, 2187.1]"
-0.00011707,"[2149, 2844]","[2212.1, 2935.5]",-0.0012004,"[10641, 10667]","[10963.0, 10989.0]",0.00036245,"[25898, 26005]","[26675.0, 26786.0]",-0.001258,"[3057, 3134]","[3157.1, 3235.7]"
-0.00017213,"[2872, 3032]","[2968.4, 3131.6]",-0.00019521,"[10758, 10831]","[11082.0, 11157.0]",-0.000387205,"[27354, 27428]","[28194.0, 28269.0]",0.000434115,"[4111, 4243]","[4232.3, 4367.0]"
-4.5437e-05,"[3159, 4086]","[3261.2, 4206.8]",-0.0004964500000000001,"[10871, 11013]","[11198.0, 11342.0]",0.00047187,"[28308, 28373]","[29167.0, 29233.0]",0.00055398,"[4527, 4568]","[4656.9, 4698.7]"
-0.00046451,"[4268, 4502]","[4392.5, 4631.4]",-0.00058031,"[11834, 12087]","[12182.0, 12445.0]",-0.00039761,"[29241, 29306]","[30119.0, 30186.0]",0.000209855,"[4968, 5090]","[5112.4, 5239.2]"
-3.5154e-05,"[4593, 4944]","[4724.3, 5087.4]",0.0010254,"[14075, 14098]","[14501.0, 14524.0]",0.00043880000000000004,"[33644, 33716]","[34666.0, 34741.0]",0.00079107,"[5238, 5263]","[5393.2, 5419.2]"
-2.4659000000000002e-05,"[5114, 5213]","[5264.2, 5367.2]",-0.00023225,"[14173, 14207]","[14601.0, 14636.0]",,,,-0.0010505199999999999,"[5706, 5766]","[5880.0, 5942.4]"
-0.00025695,"[5288, 5682]","[5445.2, 5855.0]",-0.000138915,"[15047, 15203]","[15492.0, 15652.0]",,,,-0.0008401,"[7631, 7724]","[7859.6, 7954.5]"
-0.00043319999999999996,"[5791, 7606]","[5968.4, 7834.1]",0.00028194,"[16239, 16444]","[16729.0, 16943.0]",,,,-0.00059162,"[8223, 8295]","[8463.9, 8537.6]"
-0.00011066,"[7749, 8198]","[7980.0, 8438.4]",0.00016406,"[16500, 16942]","[17001.0, 17464.0]",,,,0.00088352,"[9079, 9116]","[9351.6, 9390.1]"
0.00035324,"[8320, 8758]","[8563.1, 9017.7]",-0.00055027,"[18562, 18647]","[19117.0, 19204.0]",,,,0.00086943,"[11698, 11722]","[12042.0, 12066.0]"
-4.3099e-05,"[8924, 9054]","[9190.4, 9325.6]",3.878100000000001e-05,"[18719, 18887]","[19277.0, 19452.0]",,,,-0.000220185,"[12174, 12202]","[12535.0, 12564.0]"
-2.20975e-05,"[9140, 10420]","[9415.1, 10738.0]",-0.000293815,"[20310, 20758]","[20932.0, 21391.0]",,,,0.00025297,"[13214, 13294]","[13617.0, 13701.0]"
