state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
8.3408,"[8, 320]","[9.112, 328.75]",56.576499999999996,"[838, 1028]","[866.51, 1064.1]",-366.455,"[29732, 29868]","[30669.0, 30811.0]",-455.83000000000004,"[337, 405]","[346.17, 416.63]"
21.399,"[422, 821]","[434.23, 848.83]",7.4593,"[1233, 1504]","[1277.7, 1559.9]",353.89,"[31889, 31988]","[32881.0, 32984.0]",-656.29,"[1602, 1631]","[1661.9, 1692.0]"
-25.305999999999997,"[1045, 1216]","[1081.8, 1260.0]",35.394,"[1767, 2187]","[1833.7, 2273.0]",-61.602,"[32964, 33064]","[34000.0, 34104.0]",-404.87,"[1675, 1704]","[1737.8, 1768.0]"
-24.004099999999998,"[1521, 1585]","[1577.6, 1644.2]",25.642,"[2949, 3344]","[3050.5, 3453.5]",-190.25,"[34157, 34242]","[35232.0, 35319.0]",-158.41000000000003,"[2381, 2469]","[2470.9, 2560.8]"
325.55,"[1648, 1658]","[1709.7, 1720.1]",3.7529,"[19576, 20072]","[20203.0, 20709.0]",-634.14,"[35810, 35939]","[36928.0, 37063.0]",-9.93,"[2510, 2634]","[2602.6, 2729.1]"
911.46,"[1721, 1750]","[1785.6, 1816.0]",141.89,"[26317, 26626]","[27147.0, 27472.0]",-284.975,"[36429, 36479]","[37572.0, 37624.0]",32.966,"[2702, 2889]","[2798.5, 2989.3]"
-200.92000000000002,"[2204, 2364]","[2290.4, 2453.6]",39.1665,"[29519, 29715]","[30448.0, 30652.0]",,,,-165.495,"[5459, 5577]","[5642.9, 5765.7]"
-852.96,"[2486, 2493]","[2578.1, 2585.3]",-102.8185,"[29885, 30375]","[30828.0, 31336.0]",,,,161.20999999999998,"[7455, 7581]","[7686.9, 7817.2]"
418.795,"[2651, 2685]","[2746.4, 2781.1]",-1209.65,"[31380, 31398]","[32361.0, 32379.0]",,,,29.680999999999997,"[8428, 8619]","[8698.6, 8897.3]"
