state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.4568,"[834, 1251]","[852.2, 1278.4]",2.475,"[12, 154]","[13.12, 158.0]",2.47185,"[179, 229]","[183.5, 234.52]",2.4472,"[6721, 7053]","[6928.5, 7267.2]"
2.4496,"[2422, 3290]","[2496.1, 3392.9]",2.4726,"[281, 538]","[287.56, 549.8]",2.4663,"[716, 809]","[731.36, 826.7]",2.445,"[9394, 9488]","[9681.3, 9779.2]"
2.4465,"[3476, 3996]","[3582.7, 4113.5]",2.4711499999999997,"[583, 691]","[595.7, 705.86]",2.4532999999999996,"[4757, 4805]","[4891.3, 4941.1]",2.4373,"[10301, 10341]","[10619.0, 10659.0]"
2.4493,"[4248, 4278]","[4370.6, 4401.2]",2.4588,"[1276, 1655]","[1304.2, 1698.0]",2.4532,"[5910, 5977]","[6090.9, 6160.6]",2.4374,"[10416, 10603]","[10736.0, 10927.0]"
2.4508,"[4830, 4863]","[4967.1, 5001.4]",2.4626,"[1710, 1851]","[1755.2, 1902.0]",2.4501,"[8358, 8396]","[8603.8, 8643.3]",2.44115,"[11868, 11986]","[12220.0, 12343.0]"
2.4475,"[5007, 5408]","[5151.3, 5568.5]",2.46195,"[1902, 2028]","[1955.1, 2086.2]",2.4507,"[12691, 12821]","[13076.0, 13211.0]",2.4461500000000003,"[16187, 16413]","[16678.0, 16913.0]"
2.4513,"[6001, 6020]","[6185.6, 6205.4]",2.4582,"[2071, 2278]","[2130.9, 2346.3]",2.4526,"[16091, 16120]","[16578.0, 16609.0]",2.4442,"[16487, 16502]","[16990.0, 17006.0]"
2.4502,"[6282, 6696]","[6477.9, 6903.0]",2.4546,"[2317, 2397]","[2386.9, 2470.1]",2.4475499999999997,"[19464, 19540]","[20054.0, 20133.0]",2.4447,"[20614, 20854]","[21247.0, 21491.0]"
2.4486,"[7078, 7606]","[7292.7, 7831.3]",2.4442,"[3315, 3388]","[3418.4, 3492.9]",2.445,"[20461, 20523]","[21091.0, 21154.0]",2.4428,"[23066, 23361]","[23767.0, 24074.0]"
2.4399,"[8671, 8803]","[8929.3, 9066.6]",2.4452,"[4021, 4223]","[4139.0, 4345.1]",2.4512,"[21555, 21642]","[22207.0, 22295.0]",2.4411,"[23475, 23570]","[24192.0, 24291.0]"
2.4459,"[9259, 9369]","[9540.9, 9655.3]",2.4544,"[4303, 4490]","[4426.7, 4617.5]",2.45235,"[22181, 22273]","[22847.0, 22942.0]",2.4434,"[24996, 25181]","[25754.0, 25942.0]"
2.4376,"[9512, 9792]","[9804.2, 10095.0]",2.457,"[4546, 4611]","[4674.7, 4741.2]",2.4473,"[22943, 22986]","[23639.0, 23683.0]",2.44435,"[25474, 25510]","[26242.0, 26278.0]"
2.4419999999999997,"[10153, 10277]","[10468.0, 10594.0]",2.45725,"[4660, 4732]","[4791.4, 4865.4]",2.45815,"[24629, 24651]","[25379.0, 25402.0]",2.4461,"[25624, 25751]","[26395.0, 26526.0]"
2.4361,"[10365, 10391]","[10684.0, 10710.0]",2.4530000000000003,"[4888, 4982]","[5027.3, 5125.3]",2.4616499999999997,"[26877, 26901]","[27698.0, 27722.0]",2.4458,"[26121, 26284]","[26911.0, 27081.0]"
2.4322,"[10628, 11844]","[10952.0, 12195.0]",2.4502,"[5432, 5609]","[5593.5, 5777.6]",2.4512,"[27312, 27399]","[28153.0, 28241.0]",2.4531,"[28904, 29106]","[29777.0, 29984.0]"
2.4434,"[12010, 12075]","[12368.0, 12435.0]",2.456,"[5664, 5885]","[5835.0, 6064.9]",2.45505,"[28015, 28123]","[28870.0, 28980.0]",2.447,"[31689, 31791]","[32655.0, 32759.0]"
2.4527,"[12845, 12885]","[13236.0, 13278.0]",2.45615,"[6044, 6258]","[6230.4, 6452.9]",2.4570499999999997,"[29911, 29983]","[30821.0, 30896.0]",2.4455,"[32207, 32288]","[33183.0, 33266.0]"
2.4512,"[13820, 13863]","[14242.0, 14286.0]",2.452,"[7631, 8334]","[7856.8, 8578.8]",2.4483,"[30568, 30684]","[31505.0, 31625.0]",2.4432,"[34707, 34772]","[35771.0, 35838.0]"
2.4425,"[14185, 14540]","[14615.0, 14977.0]",2.4481,"[8448, 8615]","[8697.4, 8871.0]",2.44685,"[33110, 33222]","[34115.0, 34231.0]",2.4405,"[35385, 35466]","[36463.0, 36546.0]"
2.4485,"[15502, 15674]","[15966.0, 16145.0]",2.44775,"[8828, 9234]","[9092.6, 9514.9]",,,,2.439,"[35842, 35944]","[36930.0, 37034.0]"
