state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
72.6755,"[1391, 1797]","[1421.9, 1844.3]",-253.04000000000002,"[12, 106]","[12.3, 108.18]",276.255,"[131, 243]","[133.68, 247.94]",93.79799999999999,"[1822, 1927]","[1870.3, 1979.5]"
-180.62,"[1951, 2500]","[2004.5, 2575.7]",-131.515,"[284, 1366]","[289.76, 1395.8]",-11.741,"[2943, 3054]","[3036.8, 3152.2]",329.24,"[7539, 7572]","[7776.2, 7809.9]"
-104.11,"[3682, 4761]","[3798.9, 4901.1]",-83.975,"[2524, 2743]","[2600.7, 2828.5]",-291.07500000000005,"[6019, 6037]","[6209.9, 6228.7]",-299.36,"[9859, 9930]","[10176.0, 10250.0]"
-69.7495,"[5021, 5649]","[5171.4, 5824.9]",-133.15,"[2774, 2919]","[2860.9, 3011.8]",479.28,"[31569, 31602]","[32601.0, 32635.0]",-359.39,"[11434, 11546]","[11791.0, 11906.0]"
-84.411,"[6062, 6577]","[6254.7, 6790.5]",-37.260999999999996,"[3086, 3355]","[3185.6, 3465.3]",117.8,"[33027, 33144]","[34097.0, 34219.0]",-547.635,"[11845, 11891]","[12215.0, 12262.0]"
-383.79,"[6652, 6733]","[6871.4, 6954.0]",-253.12,"[3396, 3657]","[3507.1, 3773.4]",179.54,"[33868, 33940]","[34972.0, 35047.0]",-22.302,"[14126, 14294]","[14580.0, 14751.0]"
-91.08,"[6884, 7317]","[7108.0, 7549.8]",-68.9745,"[4786, 4996]","[4927.1, 5145.4]",-43.056000000000004,"[35875, 35960]","[37037.0, 37124.0]",211.44,"[14675, 14738]","[15140.0, 15204.0]"
-326.14,"[7480, 7514]","[7716.0, 7750.7]",-0.8350000000000009,"[5673, 5803]","[5849.9, 5985.1]",41.604,"[40961, 41013]","[42293.0, 42348.0]",210.33,"[14860, 14897]","[15329.0, 15367.0]"
15.128,"[7597, 7690]","[7835.4, 7930.3]",-411.16999999999996,"[5847, 5995]","[6030.9, 6184.9]",,,,-413.03,"[15422, 15475]","[15904.0, 15959.0]"
-234.62,"[7782, 7823]","[8024.1, 8066.0]",-839.99,"[6602, 6627]","[6820.4, 6845.9]",,,,14.249,"[15857, 16168]","[16356.0, 16679.0]"
-398.58,"[8103, 8222]","[8351.6, 8473.7]",-95.24600000000001,"[6758, 6859]","[6979.5, 7082.5]",,,,34.372,"[16449, 16484]","[16972.0, 17008.0]"
-176.615,"[8562, 9430]","[8826.9, 9729.8]",-77.835,"[7342, 7455]","[7575.3, 7690.5]",,,,-430.45500000000004,"[17982, 18060]","[18553.0, 18632.0]"
-190.73000000000002,"[9613, 9835]","[9920.1, 10151.0]",-690.735,"[7715, 7757]","[7955.8, 7998.6]",,,,-353.625,"[18465, 18491]","[19045.0, 19072.0]"
-117.98,"[9954, 10685]","[10275.0, 11027.0]",-288.13,"[7848, 7933]","[8091.5, 8178.2]",,,,-260.7,"[18747, 18884]","[19334.0, 19476.0]"
-7.3828,"[10743, 11409]","[11087.0, 11766.0]",-173.64999999999998,"[7970, 8078]","[8215.9, 8326.1]",,,,103.37,"[19565, 19654]","[20185.0, 20277.0]"
-297.65,"[11570, 11821]","[11931.0, 12190.0]",-78.365,"[8305, 8507]","[8559.6, 8769.7]",,,,-144.435,"[22741, 22913]","[23462.0, 23641.0]"
-42.896,"[11916, 14101]","[12288.0, 14555.0]",-149.36,"[9455, 9588]","[9755.8, 9894.1]",,,,-28.212,"[24480, 24546]","[25266.0, 25333.0]"
-8.5778,"[14319, 14650]","[14777.0, 15115.0]",-53.413999999999994,"[29391, 29652]","[30332.0, 30603.0]",,,,-396.57,"[26918, 26967]","[27778.0, 27829.0]"
-126.495,"[14762, 14836]","[15229.0, 15304.0]",101.3865,"[30850, 30914]","[31860.0, 31927.0]",,,,34.7588,"[27057, 27187]","[27923.0, 28058.0]"
-64.88,"[14922, 15398]","[15392.0, 15879.0]",-124.66,"[31191, 31544]","[32216.0, 32576.0]",,,,-51.907,"[28662, 28743]","[29576.0, 29659.0]"
239.375,"[15499, 15833]","[15984.0, 16331.0]",-81.594,"[32661, 33002]","[33716.0, 34071.0]",,,,-68.8125,"[29056, 29156]","[29984.0, 30087.0]"
-77.003,"[16192, 16425]","[16704.0, 16947.0]",-96.177,"[33191, 33844]","[34268.0, 34947.0]",,,,-28.113000000000003,"[29676, 29767]","[30628.0, 30723.0]"
-95.02600000000001,"[16508, 17958]","[17033.0, 18528.0]",136.56,"[33973, 34099]","[35081.0, 35212.0]",,,,64.1875,"[32368, 32398]","[33416.0, 33447.0]"
-41.6735,"[18084, 18440]","[18657.0, 19020.0]",-136.275,"[35063, 35207]","[36209.0, 36356.0]",,,,-336.69,"[34219, 34332]","[35337.0, 35455.0]"
-194.51,"[18515, 18723]","[19097.0, 19309.0]",-20.669,"[35275, 35850]","[36425.0, 37012.0]",,,,-347.39,"[34816, 34850]","[35957.0, 35992.0]"
-164.3,"[18908, 19541]","[19501.0, 20160.0]",115.57,"[38693, 38750]","[39954.0, 40012.0]",,,,-360.84,"[37691, 37736]","[38921.0, 38968.0]"
-93.257,"[19678, 22717]","[20302.0, 23437.0]",34.055,"[39469, 39620]","[40746.0, 40900.0]",,,,-707.4300000000001,"[37894, 37916]","[39133.0, 39156.0]"
-124.62,"[22937, 24456]","[23666.0, 25241.0]",-22.921,"[39761, 39837]","[41045.0, 41124.0]",,,,-571.21,"[38983, 39044]","[40250.0, 40312.0]"
-72.113,"[24571, 26894]","[25358.0, 27753.0]",60.666000000000004,"[39868, 39929]","[41157.0, 41220.0]",,,,1.1747,"[41214, 41299]","[42557.0, 42645.0]"
-497.07,"[26991, 27033]","[27854.0, 27898.0]",-19.459,"[40068, 40371]","[41365.0, 41680.0]",,,,,,
-71.8415,"[27211, 27409]","[28083.0, 28289.0]",-129.09,"[40681, 40933]","[42002.0, 42264.0]",,,,,,
-45.097,"[27457, 28638]","[28339.0, 29551.0]",,,,,,,,,
-57.408500000000004,"[28768, 29032]","[29684.0, 29959.0]",,,,,,,,,
-177.24,"[29180, 29367]","[30112.0, 30307.0]",,,,,,,,,
-52.297000000000004,"[29791, 30825]","[30748.0, 31834.0]",,,,,,,,,
-200.76,"[30938, 31167]","[31952.0, 32191.0]",,,,,,,,,
-20.549500000000002,"[31627, 32343]","[32660.0, 33391.0]",,,,,,,,,
-11.987050000000002,"[32423, 32555]","[33472.0, 33608.0]",,,,,,,,,
496.61,"[32619, 32636]","[33673.0, 33691.0]",,,,,,,,,
-365.34000000000003,"[34123, 34195]","[35237.0, 35312.0]",,,,,,,,,
-27.2065,"[34356, 34792]","[35480.0, 35932.0]",,,,,,,,,
-320.46500000000003,"[34875, 35003]","[36017.0, 36148.0]",,,,,,,,,
367.145,"[35232, 35250]","[36381.0, 36400.0]",,,,,,,,,
-98.111,"[35984, 37667]","[37149.0, 38896.0]",,,,,,,,,
103.53800000000001,"[37760, 37870]","[38993.0, 39108.0]",,,,,,,,,
