state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
383275.0,"[1391, 1797]","[1421.9, 1844.3]",384000.0,"[12, 106]","[12.3, 108.18]",363250.0,"[131, 243]","[133.68, 247.94]",384540.0,"[1822, 1927]","[1870.3, 1979.5]"
382750.0,"[1951, 2500]","[2004.5, 2575.7]",383870.0,"[284, 1366]","[289.76, 1395.8]",368000.0,"[2943, 3054]","[3036.8, 3152.2]",382360.0,"[7539, 7572]","[7776.2, 7809.9]"
384170.0,"[3682, 4761]","[3798.9, 4901.1]",388500.0,"[2524, 2743]","[2600.7, 2828.5]",371265.0,"[6019, 6037]","[6209.9, 6228.7]",386210.0,"[9859, 9930]","[10176.0, 10250.0]"
386165.0,"[5021, 5649]","[5171.4, 5824.9]",386050.0,"[2774, 2919]","[2860.9, 3011.8]",357780.0,"[31569, 31602]","[32601.0, 32635.0]",390560.0,"[11434, 11546]","[11791.0, 11906.0]"
386530.0,"[6062, 6577]","[6254.7, 6790.5]",387580.0,"[3086, 3355]","[3185.6, 3465.3]",367980.0,"[33027, 33144]","[34097.0, 34219.0]",387075.0,"[11845, 11891]","[12215.0, 12262.0]"
385020.0,"[6652, 6733]","[6871.4, 6954.0]",384620.0,"[3396, 3657]","[3507.1, 3773.4]",372870.0,"[33868, 33940]","[34972.0, 35047.0]",382345.0,"[14126, 14294]","[14580.0, 14751.0]"
385600.0,"[6884, 7317]","[7108.0, 7549.8]",387245.0,"[4786, 4996]","[4927.1, 5145.4]",357340.0,"[35875, 35960]","[37037.0, 37124.0]",388130.0,"[14675, 14738]","[15140.0, 15204.0]"
387020.0,"[7480, 7514]","[7716.0, 7750.7]",388465.0,"[5673, 5803]","[5849.9, 5985.1]",366255.0,"[40961, 41013]","[42293.0, 42348.0]",386540.0,"[14860, 14897]","[15329.0, 15367.0]"
388530.0,"[7597, 7690]","[7835.4, 7930.3]",387330.0,"[5847, 5995]","[6030.9, 6184.9]",,,,388640.0,"[15422, 15475]","[15904.0, 15959.0]"
389550.0,"[7782, 7823]","[8024.1, 8066.0]",385590.0,"[6602, 6627]","[6820.4, 6845.9]",,,,384060.0,"[15857, 16168]","[16356.0, 16679.0]"
386130.0,"[8103, 8222]","[8351.6, 8473.7]",388240.0,"[6758, 6859]","[6979.5, 7082.5]",,,,386450.0,"[16449, 16484]","[16972.0, 17008.0]"
385760.0,"[8562, 9430]","[8826.9, 9729.8]",389030.0,"[7342, 7455]","[7575.3, 7690.5]",,,,387975.0,"[17982, 18060]","[18553.0, 18632.0]"
385865.0,"[9613, 9835]","[9920.1, 10151.0]",388600.0,"[7715, 7757]","[7955.8, 7998.6]",,,,386330.0,"[18465, 18491]","[19045.0, 19072.0]"
385310.0,"[9954, 10685]","[10275.0, 11027.0]",389580.0,"[7848, 7933]","[8091.5, 8178.2]",,,,387260.0,"[18747, 18884]","[19334.0, 19476.0]"
386180.0,"[10743, 11409]","[11087.0, 11766.0]",387880.0,"[7970, 8078]","[8215.9, 8326.1]",,,,388040.0,"[19565, 19654]","[20185.0, 20277.0]"
386180.0,"[11570, 11821]","[11931.0, 12190.0]",390960.0,"[8305, 8507]","[8559.6, 8769.7]",,,,387975.0,"[22741, 22913]","[23462.0, 23641.0]"
383420.0,"[11916, 14101]","[12288.0, 14555.0]",389530.0,"[9455, 9588]","[9755.8, 9894.1]",,,,375055.0,"[24480, 24546]","[25266.0, 25333.0]"
382910.0,"[14319, 14650]","[14777.0, 15115.0]",375730.0,"[29391, 29652]","[30332.0, 30603.0]",,,,376730.0,"[26918, 26967]","[27778.0, 27829.0]"
383460.0,"[14762, 14836]","[15229.0, 15304.0]",375875.0,"[30850, 30914]","[31860.0, 31927.0]",,,,374615.0,"[27057, 27187]","[27923.0, 28058.0]"
384700.0,"[14922, 15398]","[15392.0, 15879.0]",375280.0,"[31191, 31544]","[32216.0, 32576.0]",,,,375560.0,"[28662, 28743]","[29576.0, 29659.0]"
386685.0,"[15499, 15833]","[15984.0, 16331.0]",376910.0,"[32661, 33002]","[33716.0, 34071.0]",,,,377385.0,"[29056, 29156]","[29984.0, 30087.0]"
384350.0,"[16192, 16425]","[16704.0, 16947.0]",377260.0,"[33191, 33844]","[34268.0, 34947.0]",,,,376320.0,"[29676, 29767]","[30628.0, 30723.0]"
384090.0,"[16508, 17958]","[17033.0, 18528.0]",376595.0,"[33973, 34099]","[35081.0, 35212.0]",,,,374455.0,"[32368, 32398]","[33416.0, 33447.0]"
382655.0,"[18084, 18440]","[18657.0, 19020.0]",378985.0,"[35063, 35207]","[36209.0, 36356.0]",,,,374090.0,"[34219, 34332]","[35337.0, 35455.0]"
385560.0,"[18515, 18723]","[19097.0, 19309.0]",375780.0,"[35275, 35850]","[36425.0, 37012.0]",,,,372505.0,"[34816, 34850]","[35957.0, 35992.0]"
384770.0,"[18908, 19541]","[19501.0, 20160.0]",374380.0,"[38693, 38750]","[39954.0, 40012.0]",,,,377340.0,"[37691, 37736]","[38921.0, 38968.0]"
381600.0,"[19678, 22717]","[20302.0, 23437.0]",376950.0,"[39469, 39620]","[40746.0, 40900.0]",,,,374040.0,"[37894, 37916]","[39133.0, 39156.0]"
