state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.1996,"[1391, 1797]","[1421.9, 1844.3]",4.2013,"[12, 106]","[12.3, 108.18]",4.1922,"[131, 243]","[133.68, 247.94]",4.1902,"[1822, 1927]","[1870.3, 1979.5]"
4.1921,"[1951, 2500]","[2004.5, 2575.7]",4.2042,"[284, 1366]","[289.76, 1395.8]",4.1979,"[2943, 3054]","[3036.8, 3152.2]",4.172,"[7539, 7572]","[7776.2, 7809.9]"
4.1884,"[3682, 4761]","[3798.9, 4901.1]",4.2016,"[2524, 2743]","[2600.7, 2828.5]",4.1858,"[6019, 6037]","[6209.9, 6228.7]",4.1722,"[9859, 9930]","[10176.0, 10250.0]"
4.1882,"[5021, 5649]","[5171.4, 5824.9]",4.205,"[2774, 2919]","[2860.9, 3011.8]",4.1819999999999995,"[31569, 31602]","[32601.0, 32635.0]",4.1794,"[11434, 11546]","[11791.0, 11906.0]"
4.1855,"[6062, 6577]","[6254.7, 6790.5]",4.2072,"[3086, 3355]","[3185.6, 3465.3]",4.1924,"[33027, 33144]","[34097.0, 34219.0]",4.1747,"[11845, 11891]","[12215.0, 12262.0]"
4.1773,"[6652, 6733]","[6871.4, 6954.0]",4.2075,"[3396, 3657]","[3507.1, 3773.4]",4.20235,"[33868, 33940]","[34972.0, 35047.0]",4.1604,"[14126, 14294]","[14580.0, 14751.0]"
4.1776,"[6884, 7317]","[7108.0, 7549.8]",4.1918500000000005,"[4786, 4996]","[4927.1, 5145.4]",4.1908,"[35875, 35960]","[37037.0, 37124.0]",4.1681,"[14675, 14738]","[15140.0, 15204.0]"
4.178649999999999,"[7480, 7514]","[7716.0, 7750.7]",4.18645,"[5673, 5803]","[5849.9, 5985.1]",4.197900000000001,"[40961, 41013]","[42293.0, 42348.0]",4.1677,"[14860, 14897]","[15329.0, 15367.0]"
4.1772,"[7597, 7690]","[7835.4, 7930.3]",4.189,"[5847, 5995]","[6030.9, 6184.9]",,,,4.1714,"[15422, 15475]","[15904.0, 15959.0]"
4.1811,"[7782, 7823]","[8024.1, 8066.0]",4.1789,"[6602, 6627]","[6820.4, 6845.9]",,,,4.163,"[15857, 16168]","[16356.0, 16679.0]"
4.1771,"[8103, 8222]","[8351.6, 8473.7]",4.1794,"[6758, 6859]","[6979.5, 7082.5]",,,,4.1663,"[16449, 16484]","[16972.0, 17008.0]"
4.1763,"[8562, 9430]","[8826.9, 9729.8]",4.1808,"[7342, 7455]","[7575.3, 7690.5]",,,,4.170299999999999,"[17982, 18060]","[18553.0, 18632.0]"
