intensity,lifetime,sleep_states
1.21E+05,4.153,2
1.21E+05,4.1534,2
1.19E+05,4.1349,2
1.23E+05,4.1448,2
1.19E+05,4.1376,2
1.19E+05,4.1741,2
1.17E+05,4.1762,2
1.17E+05,4.1715,2
1.18E+05,4.1744,2
1.19E+05,4.1504,2
1.26E+05,4.1484,2
1.19E+05,4.1489,2
1.20E+05,4.1322,2
1.19E+05,4.1477,2
1.17E+05,4.1479,2
1.22E+05,4.1631,2
1.18E+05,4.1295,2
1.19E+05,4.1329,2
1.18E+05,4.1291,2
1.18E+05,4.1272,2
1.19E+05,4.1333,2
1.23E+05,4.1469,2
1.25E+05,4.1629,2
1.23E+05,4.1632,2
1.24E+05,4.1297,2
1.23E+05,4.1424,2
1.23E+05,4.1362,2
1.22E+05,4.1431,2
1.20E+05,4.1394,2
1.20E+05,4.1487,2
1.20E+05,4.1556,2
1.19E+05,4.1532,2
1.19E+05,4.1556,2
1.20E+05,4.1611,2
1.19E+05,4.1529,2
1.20E+05,4.1598,2
1.22E+05,4.153,2
1.20E+05,4.1687,2
1.20E+05,4.1659,2
1.21E+05,4.1667,2
1.29E+05,4.1966,2
2.41E+05,4.1702,2
2.36E+05,4.1549,2
2.27E+05,4.1513,2
2.28E+05,4.157,2
2.36E+05,4.1413,2
2.33E+05,4.1579,2
2.39E+05,4.1597,2
2.31E+05,4.1517,2
2.35E+05,4.1532,2
2.33E+05,4.1591,2
2.29E+05,4.1609,2
2.50E+05,4.1925,2
2.31E+05,4.1572,2
2.29E+05,4.1584,2
2.28E+05,4.1659,2
2.30E+05,4.1695,2
2.28E+05,4.1537,2
2.35E+05,4.1535,2
2.25E+05,4.1427,2
2.30E+05,4.1475,2
2.31E+05,4.1478,2
2.31E+05,4.1504,2
2.33E+05,4.1542,2
2.25E+05,4.1458,2
2.25E+05,4.1488,2
2.21E+05,4.1522,2
2.26E+05,4.1674,2
2.19E+05,4.1524,2
2.20E+05,4.1543,2
2.21E+05,4.1545,2
2.22E+05,4.1591,2
2.20E+05,4.155,2
2.22E+05,4.1621,2
2.32E+05,4.1432,2
2.31E+05,4.1645,2
2.29E+05,4.1856,2
2.26E+05,4.19,2
2.26E+05,4.184,2
2.22E+05,4.1845,2
2.24E+05,4.1801,2
2.24E+05,4.1837,2
2.22E+05,4.1823,2
2.30E+05,4.1891,2
2.35E+05,4.1863,2
2.27E+05,4.1823,2
2.24E+05,4.1837,2
2.24E+05,4.1801,2
2.21E+05,4.1812,2
2.24E+05,4.1813,2
2.24E+05,4.1835,2
2.22E+05,4.183,2
2.39E+05,4.1699,2
2.32E+05,4.1654,2
2.32E+05,4.188,2
2.28E+05,4.1973,2
3.93E+05,4.1458,2
3.78E+05,4.1354,2
3.73E+05,4.1447,2
3.80E+05,4.1195,2
3.78E+05,4.1338,2
3.89E+05,4.1379,2
3.77E+05,4.1279,2
3.73E+05,4.1277,2
3.72E+05,4.1437,2
3.85E+05,4.1366,2
3.70E+05,4.1195,2
3.71E+05,4.1304,2
3.72E+05,4.1184,2
3.69E+05,4.1232,2
3.77E+05,4.1458,2
3.74E+05,4.1426,2
3.77E+05,4.1105,2
3.87E+05,4.1317,2
3.72E+05,4.117,2
3.79E+05,4.1165,2
3.73E+05,4.1611,2
3.72E+05,4.1705,2
3.64E+05,4.1608,2
3.70E+05,4.17,2
3.68E+05,4.1763,2
3.69E+05,4.1803,2
3.65E+05,4.1769,2
3.70E+05,4.1282,2
3.68E+05,4.1354,2
3.69E+05,4.146,2
3.67E+05,4.1616,2
3.74E+05,4.1497,2
3.77E+05,4.1657,2
1.07E+05,4.1156,2
1.12E+05,4.1407,2
1.06E+05,4.1166,2
1.05E+05,4.1183,2
1.05E+05,4.1148,2
1.06E+05,4.118,2
1.06E+05,4.127,2
1.03E+05,4.117,2
1.04E+05,4.1219,2
1.04E+05,4.1308,2
1.04E+05,4.1379,2
1.03E+05,4.1362,2
1.04E+05,4.1405,2
1.04E+05,4.1291,2
1.04E+05,4.1411,2
1.04E+05,4.1413,2
1.05E+05,4.1431,2
1.04E+05,4.1411,2
1.04E+05,4.1396,2
1.07E+05,4.1327,2
1.06E+05,4.1317,2
1.06E+05,4.1431,2
1.06E+05,4.1483,2
1.06E+05,4.1479,2
1.09E+05,4.2626,2
1.35E+05,4.176,2
1.35E+05,4.1779,2
1.35E+05,4.1883,2
1.23E+05,4.1674,2
1.23E+05,4.171,2
1.24E+05,4.1913,2
1.25E+05,4.2021,2
1.25E+05,4.2041,2
1.29E+05,4.1951,2
1.24E+05,4.1808,2
1.23E+05,4.1881,2
1.24E+05,4.1941,2
1.26E+05,4.208,2
1.26E+05,4.2134,2
1.25E+05,4.193,2
1.25E+05,4.2028,2
1.27E+05,4.2183,2
1.26E+05,4.2155,2
1.26E+05,4.2184,2
1.25E+05,4.1903,2
1.25E+05,4.2009,2
1.26E+05,4.2081,2
1.81E+05,4.1368,2
1.81E+05,4.1397,2
1.80E+05,4.1302,2
1.85E+05,4.1329,2
1.96E+05,4.1699,2
1.98E+05,4.1658,2
1.88E+05,4.1386,2
1.83E+05,4.1221,2
1.91E+05,4.1552,2
1.83E+05,4.1273,2
1.82E+05,4.1384,2
1.82E+05,4.1498,2
1.83E+05,4.1584,2
1.91E+05,4.1585,2
1.84E+05,4.1329,2
1.82E+05,4.1312,2
1.82E+05,4.1379,2
1.83E+05,4.1469,2
1.83E+05,4.1536,2
1.87E+05,4.135,2
1.83E+05,4.1275,2
1.87E+05,4.1552,2
1.82E+05,4.1428,2
1.82E+05,4.1513,2
1.83E+05,4.163,2
1.83E+05,4.1723,2
1.84E+05,4.1797,2
1.84E+05,4.1772,2
1.83E+05,4.1782,2
1.83E+05,4.1701,2
1.82E+05,4.1704,2
1.84E+05,4.1798,2
1.83E+05,4.1725,2
1.84E+05,4.1763,2
1.84E+05,4.1799,2
1.84E+05,4.181,2
1.81E+05,4.1774,2
1.84E+05,4.178,2
1.84E+05,4.1823,2
1.83E+05,4.1412,2
1.84E+05,4.155,2
1.86E+05,4.1696,2
1.87E+05,4.1792,2
1.86E+05,4.1735,2
1.87E+05,4.1789,2
1.86E+05,4.1788,2
1.85E+05,4.1776,2
1.85E+05,4.1769,2
1.86E+05,4.147,2
1.84E+05,4.1445,2
1.87E+05,4.1565,2
1.88E+05,4.1679,2
1.87E+05,4.1673,2
1.86E+05,4.1718,2
2.79E+05,4.2006,2
2.71E+05,4.1914,2
2.70E+05,4.1938,2
2.69E+05,4.1961,2
2.64E+05,4.1844,2
2.65E+05,4.1873,2
2.61E+05,4.1873,2
2.64E+05,4.1908,2
2.64E+05,4.181,2
2.62E+05,4.1836,2
2.63E+05,4.1836,2
2.61E+05,4.1738,2
2.59E+05,4.1764,2
2.60E+05,4.1764,2
2.62E+05,4.1818,2
2.63E+05,4.1826,2
2.58E+05,4.1755,2
2.66E+05,4.2031,2
2.63E+05,4.2016,2
2.62E+05,4.1855,2
2.64E+05,4.1815,2
2.64E+05,4.2155,2
2.65E+05,4.2228,2
2.63E+05,4.2242,2
2.64E+05,4.2285,2
2.63E+05,4.225,2
3.17E+05,4.2169,2
3.02E+05,4.1954,2
2.98E+05,4.196,2
2.96E+05,4.194,2
2.98E+05,4.1862,2
2.98E+05,4.2019,2
3.01E+05,4.2083,2
2.98E+05,4.197,2
2.97E+05,4.1982,2
2.99E+05,4.207,2
3.02E+05,4.2203,2
2.98E+05,4.2113,2
3.00E+05,4.2144,2
3.06E+05,4.1753,2
3.02E+05,4.1924,2
2.99E+05,4.1952,2
3.00E+05,4.204,2
3.00E+05,4.2136,2
